Chi costruì il CBBS nel gennaio 1978 durante una forte nevicata a Chicago?;Ward Christensen e Randy Suess membri dello stesso club di hobbisti del computer
Cosa permetteva di fare il CBBS andato online il 16 febbraio 1978?;Leggere messaggi lasciati da altri scriverne di propri e scambiare file collegandosi telefonicamente con un modem
Chi iniziò a lavorare a LinkedIn nel dicembre 2002?;L'imprenditore Reid Hoffman insieme a un gruppo di colleghi tra cui Allen Blue Konstantin Guericke Eric Ly e Jean-Luc Vaillant
Quando fu lanciato ufficialmente LinkedIn e quanto tempo impiegò a raggiungere il primo milione di utenti?;Fu lanciato il 5 maggio 2003 e raggiunse il primo milione di utenti nel giro di un anno
Da quale app precedente derivò Instagram lanciata da Kevin Systrom e Mike Krieger il 6 ottobre 2010?;Da Burbn un'app che permetteva di segnalare la propria posizione e caricare foto degli spostamenti
Su quale unica funzione decise di concentrarsi Systrom eliminando quasi tutto il resto di Burbn?;Scattare una foto applicarle un filtro e caricarla per condividerla all'istante
Cosa fece l'attrice Barbra Streisand nel 2003 riguardo a una fotografia della propria villa?;Fece causa chiedendo 50 milioni di dollari di danni e la rimozione della foto che ritraeva anche la sua villa di Malibù
Cosa mostrò il caso Streisand riguardo al tentativo di nascondere un contenuto online?;Che il tentativo di eliminarlo può paradossalmente attirare su di esso un'attenzione molto più grande dando origine al cosiddetto effetto Streisand
Chi rilasciò la prima versione ufficiale di Moodle il 20 agosto 2002?;L'informatico Martin Dougiamas ex amministratore di rete alla Curtin University in Australia
Cosa significa l'acronimo Moodle?;Modular Object-Oriented Dynamic Learning Environment
Come nacque Khan Academy fondata da Salman Khan?;Da video di ripetizioni di matematica registrati nel 2006 per la cugina Nadia e pubblicati su YouTube che iniziarono a essere visti da persone sconosciute in tutto il mondo
Quando Salman Khan fondò l'organizzazione no profit Khan Academy e lasciò il proprio impiego per dedicarvisi a tempo pieno?;Fondò Khan Academy nel 2008 e lasciò il proprio impiego nel 2009
