Qual è il componente che funge da base per la comunicazione fisica di tutte le parti del computer?,La scheda madre (Motherboard).
Quale unità ha il compito di elaborare le istruzioni e prendere decisioni nel computer?,La CPU (Central Processing Unit).
Come viene definita la memoria veloce e temporanea usata per caricare i programmi in esecuzione?,RAM (Random Access Memory).
Quale memoria permanente contiene le istruzioni base necessarie per l'avvio del computer?,ROM (Read-Only Memory).
Qual è la funzione principale delle memorie di massa come HDD e SSD?,"Conservare i dati in modo permanente, anche a computer spento."
Quali componenti permettono lo scambio di informazioni tra il computer e l'ambiente esterno?,I dispositivi di input/output.
In quale data storica IBM presentò il Personal Computer 5150?,Il 12 agosto 1981.
Qual era il nome in codice del progetto segreto per lo sviluppo dell'IBM PC 5150?,Project Chess.
Perché la scelta dell'architettura aperta di IBM fu innovativa nel 1981?,Permise ad aziende esterne di costruire componenti aggiuntivi compatibili tramite slot di espansione.
Quale standard di espansione futuro nacque grazie ai cinque slot della scheda madre dell'IBM PC 5150?,Lo standard ISA.
"Nella metafora del cantiere edile, cosa rappresenta l'impalcatura che collega ogni reparto?",La scheda madre.
Chi rappresenta il capocantiere che decide cosa fare nella metafora del cantiere edile?,La CPU.
"Nella metafora del cantiere, quale parte rappresenta l'area di lavoro con gli attrezzi in uso?",La RAM.
Cosa rappresenta il libretto di istruzioni iniziale nella metafora del cantiere edile?,La ROM.
"Nella metafora del cantiere, quale luogo rappresenta il magazzino per i materiali?",Le memorie di massa.
Cosa rappresentano il cancello d'ingresso e d'uscita nella metafora del cantiere edile?,I dispositivi di input/output.
Qual è la sequenza tipica di gestione di un comando da parte della CPU?,"Ricezione dell'input, elaborazione e produzione dell'output."
Perché la CPU non esegue semplicemente tutto ciò che riceve?,Perché deve organizzare e ordinare i segnali provenienti da più fonti in ogni istante.
Cosa causa un rallentamento del computer quando arrivano troppe richieste contemporaneamente?,Il flusso di richieste supera la capacità istantanea di gestione della CPU.
"In quale anno fu messo in commercio il primo microprocessore commerciale, l'Intel 4004?",Nel novembre 1971.
Quali ingegneri svilupparono l'Intel 4004 insieme a Masatoshi Shima?,"Federico Faggin, Ted Hoff e Stanley Mazor."
Quanti transistor erano contenuti all'interno del chip Intel 4004?,2.300 transistor.
Per quale tipo di dispositivo fu originariamente progettato l'Intel 4004?,Una calcolatrice da tavolo dell'azienda Busicom.
"Prima dell'Intel 4004, come venivano distribuite le funzioni di un processore?","Su interi armadi di circuiti separati, ingombranti e costosi."
"Nella metafora del vigile urbano, quale compito della CPU viene evidenziato?",La capacità di decidere chi può passare (elaborare) e chi deve aspettare.
Cos'è una CPU multicore?,Un processore che contiene più unità di elaborazione (core) capaci di lavorare in parallelo.
