Quando fu messo in vendita Excel 1.0 e con quale nome in codice fu sviluppato?;Il 30 settembre 1985 con il nome in codice Odyssey
Per quale piattaforma era inizialmente esclusivo Excel 1.0?;Per i computer Apple Macintosh
Quale foglio di calcolo dominava il mercato prima di Excel?;Lotus 1-2-3 uscito nel 1982
Perché Lotus 1-2-3 non riuscì a competere su Macintosh?;Perché non era mai stato realizzato per quella piattaforma e questo favorì Excel
Cos'era il ricalcolo intelligente introdotto da Excel 1.0?;La capacità di aggiornare solo le celle interessate da un cambiamento invece di ricalcolare l'intero foglio
A quale prezzo fu messo in commercio Excel 1.0?;395 dollari
Quando Excel superò davvero Lotus 1-2-3 in diffusione?;Solo dopo il suo arrivo su Windows nel 1987
Nella metafora del capitolo Cos'è Excel a cosa viene paragonato Excel rispetto a un foglio per lettere?;Al registro contabile di un ragioniere con righe e colonne pronte per i numeri
Chi depositò nel 1794 il primo brevetto per una carta stampata a griglia rettangolare regolare?;Il dottor Buxton un medico inglese
A cosa serviva inizialmente la carta a quadretti prima di essere associata ai calcoli?;A tracciare più facilmente grafici e dati sperimentali
Chi promosse l'uso della carta a quadretti nelle scuole un secolo dopo la sua invenzione?;Il matematico E.H. Moore dell'Università di Chicago
Nella metafora della sala teatrale a cosa viene paragonata una matrice?;Alla pianta di una sala teatrale dove contano la fila e il numero della poltrona non il nome sul biglietto
Quale programma per fogli di calcolo mise in commercio Microsoft nel 1982 prima di Excel?;Multiplan
Per quanti sistemi e computer diversi era disponibile Multiplan?;Per sistemi come MS-DOS CP/M e Xenix e computer come Commodore 64 e Apple II
Quando arrivò la versione di Multiplan per Macintosh?;Nel 1984
Quale sistema di indirizzamento delle celle introdusse Multiplan ed è ancora disponibile oggi in Excel?;Il sistema R1C1 basato su numero di riga e numero di colonna
Da quando Microsoft iniziò a lavorare al progetto con nome in codice Odyssey che sarebbe diventato Excel?;Dal 1983
Nella metafora del raccoglitore a cosa corrisponde una cartella di lavoro di Excel?;A un raccoglitore ad anelli con più fogli trasparenti al suo interno
Con quale versione di Excel furono introdotte in modo sistematico le schede dei fogli cliccabili?;Con Excel 95 uscito nell'agosto 1995
Quali altre novità arrivarono insieme alle schede dei fogli in Excel 95?;Barre degli strumenti più accessibili e completamento automatico delle formule
Nella metafora del cruscotto a cosa corrisponde la barra della formula?;Allo specchietto che mostra cosa sta succedendo davvero
Nella metafora del cruscotto a cosa corrisponde la casella nome?;Al contachilometri che indica sempre con precisione dove ci si trova
Nella metafora del cruscotto a cosa corrispondono le schede dei fogli?;Ai pulsanti di preselezione della radio che portano ciascuno a un canale diverso
Chi pubblicò nel 1737 a Parigi l'opera che introdusse in Europa la notazione algebrica degli scacchi?;Lo scacchista Philipp Stamma
Come funziona la notazione algebrica introdotta da Stamma per identificare le caselle della scacchiera?;Con una lettera per la colonna dalla a alla h e un numero per la riga da 1 a 8
Chi sconfisse Stamma in una celebre partita del 1747 rallentando l'affermazione della notazione algebrica?;André Danican Philidor
Quando si affermò definitivamente la notazione algebrica come standard degli scacchi?;Nel corso dell'Ottocento grazie soprattutto alla manualistica scacchistica tedesca
Nella metafora della scacchiera a cosa viene paragonata la griglia di Excel?;A una scacchiera dove lettera di colonna e numero di riga individuano insieme una posizione precisa
Qual è la differenza tra descrivere una posizione in modo relativo e usare un indirizzo preciso?;Un indirizzo come scaffale 3 ripiano 2 resta valido da qualunque punto mentre una descrizione relativa dipende da dove ci si trova
Perché è utile che un foglio Excel abbia una riga distinta per ogni cliente anche se due hanno lo stesso nome?;Perché ogni riga registra dati distinti evitando di confondere le persone
Perché calcolare il valore di un magazzino è più semplice con uno strumento pensato per i dati rispetto a un programma di scrittura testo?;Perché basta cambiare un singolo numero perché il totale si aggiorni automaticamente invece di ricalcolare tutto a mano
