Qual è la differenza tra un indirizzo IP locale e un indirizzo IP pubblico?;L'IP locale ha senso solo dentro la rete a cui appartiene mentre l'IP pubblico identifica quella rete verso l'esterno
Come può un motore di ricerca mostrare risultati coerenti con la zona di un utente senza che questo la specifichi?;Utilizzando l'indirizzo IP pubblico della connessione che offre un'indicazione approssimativa della posizione
Cosa scelse di fare l'azienda MaxMind quando non riusciva a individuare la posizione precisa di un indirizzo IP statunitense?;Faceva ricadere la posizione su un punto fisso al centro geografico degli Stati Uniti
Quale conseguenza subì per anni la fattoria situata nel punto centrale scelto da MaxMind in Kansas?;Ricevette ripetute visite di agenti dell'FBI e di altre forze dell'ordine convinte di dover cercare lì dei criminali
Come si concluse la vicenda legale tra i proprietari della fattoria di Potwin e MaxMind?;I proprietari fecero causa nel 2016 e MaxMind spostò la coordinata predefinita chiudendo la causa nel 2017
Cosa dimostra concretamente il caso della fattoria di Potwin in Kansas?;Che un indirizzo IP può indicare un'area approssimativa ma non identifica mai con certezza una persona o un luogo esatto
A cosa viene paragonato l'IP pubblico nella metafora del condominio?;Al citofono all'ingresso che mostra solo il nome del palazzo e non l'appartamento specifico
Perché è consigliabile attivare una VPN quando ci si collega a una rete Wi-Fi pubblica?;Perché protegge i dati dal rischio che altri utenti collegati alla stessa rete possano intercettarli
Chi era Cody Kretsinger e per cosa fu arrestato nel 2011?;Un membro del collettivo di hacker LulzSec accusato dell'attacco informatico a Sony Pictures Entertainment
Quale servizio VPN utilizzò Cody Kretsinger convinto che lo avrebbe reso irrintracciabile?;Il servizio VPN britannico HideMyAss
Come risalirono le autorità americane all'identità di Kretsinger nonostante l'uso della VPN?;Un tribunale britannico obbligò HideMyAss a consegnare i registri di connessione associati al suo account
Cosa dimostra concretamente il caso di Cody Kretsinger riguardo alle VPN?;Che un fornitore di servizi VPN può conservare registri di connessione e condividerli con le autorità se obbligato per legge
A cosa viene paragonato l'uso di una VPN nella metafora delle due case?;Al passare da un'altra casa prima di raggiungere la destinazione finale cambiando così il punto di partenza visibile
Quali sono esempi quotidiani in cui il proprio dispositivo agisce da client?;Una ricerca su un motore di ricerca la visione di un video o il controllo delle previsioni meteo
Chi allestì il primo server web della storia alla fine del 1990?;Il ricercatore britannico Tim Berners-Lee al CERN di Ginevra
Su quale tipo di computer venne allestito il primo server web della storia?;Un computer NeXT
Come si chiamava il primo programma client in grado di interrogare il primo server web?;WorldWideWeb
Perché Tim Berners-Lee attaccò un adesivo al primo server web per non farlo spegnere durante le vacanze di Natale?;Perché se quella macchina fosse stata spenta l'intero World Wide Web sarebbe scomparso non esistendo ancora altri server in grado di rispondere
In che anno venne reso pubblico il progetto del World Wide Web di Tim Berners-Lee?;Nell'agosto 1991
A cosa viene paragonato il rapporto tra client e server nella metafora del ristorante?;Al cliente che ordina un piatto al cameriere la cucina che lo prepara e il piatto che torna al tavolo
Perché è importante controllare la presenza del lucchetto HTTPS prima di inserire i dati di una carta di pagamento online?;Perché altrimenti quei dati passerebbero in chiaro attraverso più punti della rete prima di arrivare a destinazione
Cos'era Firesheep e chi lo presentò nel 2010?;Un'estensione per il browser Firefox presentata dal programmatore Eric Butler che intercettava sessioni non protette
Quale debolezza sfruttava lo strumento Firesheep?;Il fatto che alcuni siti proteggessero con HTTPS solo l'accesso e non il resto della sessione lasciando viaggiare in chiaro il cookie dell'utente
Cosa permetteva di fare concretamente Firesheep a chi lo usava su una rete Wi-Fi pubblica?;Di impersonare con un clic l'account di chiunque altro fosse collegato alla stessa rete in quel momento
Quale effetto ebbe la diffusione di Firesheep sull'adozione dell'HTTPS?;Contribuì a spingere i grandi siti web ad adottare l'HTTPS per l'intera sessione e non solo per l'accesso
A cosa vengono paragonati rispettivamente HTTP e HTTPS nella metafora della cartolina e della lettera?;L'HTTP a una cartolina leggibile da chiunque la maneggi e l'HTTPS a una lettera chiusa in una busta sigillata
Qual è la differenza tra digitare un dominio sbagliato e digitare un percorso sbagliato in un URL?;Un dominio sbagliato impedisce al DNS di trovare l'indirizzo IP mentre un percorso sbagliato restituisce un errore 404
Quale azienda registrò il primo dominio com della storia e quando?;L'azienda statunitense Symbolics il 15 marzo 1985
Il dominio symbolics.com esiste ancora oggi anche se l'azienda ha cessato l'attività?;Sì venduto nel 2009 resta ancora oggi il più antico dominio com attivo al mondo
A cosa viene paragonato un URL nella metafora del taxi?;All'istruzione completa data a un taxi cioè come arrivarci dove arrivare e quale porta raggiungere
