Quali categorie comprendono i social media che supportano la collaborazione online?;Le reti sociali i wiki i forum e gruppi di discussione i blog e microblog e le comunità di condivisione di contenuti
A cosa serve un forum come strumento di collaborazione online?;A organizzare le discussioni per argomento permettendo a chiunque abbia la stessa domanda di trovare o dare una risposta
A cosa serve un wiki come strumento di collaborazione online?;A permettere a più persone di costruire insieme un contenuto condiviso
Cosa permettono di fare le impostazioni di privacy di una rete sociale?;Determinare chi può leggere i contenuti pubblicati chi può scrivere o commentare e chi può inviare inviti
Come si può far crescere la propria rete di collegamenti su una rete sociale?;Cercando una persona per nome un'azienda per settore o un gruppo per argomento di interesse
Cosa significa pubblicare un commento o un link sui social media?;Aggiungere un proprio contributo a una conversazione già esistente o avviarne una nuova
Qual è la differenza tra rispondere e inoltrare un contenuto sui social media?;Rispondere significa intervenire direttamente su un contenuto pubblicato da altri mentre inoltrare significa farlo circolare verso altre persone o gruppi
Perché eliminare un contenuto dai social media non garantisce che sparisca del tutto?;Perché se è già stato visto salvato o condiviso da altri resta comunque una traccia difficile da eliminare completamente
Cosa significa contribuire a un wiki?;Aggiungere o correggere direttamente il contenuto di una voce condivisa con lo stesso principio di cronologia delle versioni
Che cos'è un ambiente di apprendimento online o VLE/LMS?;Una piattaforma che organizza corsi materiali didattici e attività offrendo un calendario delle lezioni una bacheca degli avvisi uno spazio di discussione e un registro dei voti
Cosa significa l'acronimo VLE?;Virtual Learning Environment
Cosa significa l'acronimo LMS?;Learning Management System
Cosa significa accedere a un corso online?;Entrare nell'area dedicata a quel corso specifico all'interno dell'ambiente di apprendimento
Quali attività si possono svolgere all'interno di un corso online oltre a scaricare materiali?;Partecipare a un quiz di verifica o a un forum di discussione del corso
