Che cos'è un deepfake?;Un contenuto digitale come un'immagine un video o un audio generato o manipolato con tecniche di intelligenza artificiale per far apparire una persona diversa da ciò che è realmente accaduto
Da quali due parole nasce il termine deepfake?;Deep learning cioè apprendimento profondo e fake cioè falso
Cosa può fare l'AI su un video secondo la definizione di deepfake?;Sostituire il volto di una persona modificare le sue espressioni ricrearne la voce o farle pronunciare parole mai dette
Come impara un sistema di AI le caratteristiche di una persona per creare un deepfake?;Analizzando numerose fotografie e registrazioni video reali della persona come il volto i movimenti e le espressioni
Perché oggi la produzione di deepfake è diventata più accessibile rispetto al passato?;Perché alcune tecnologie basate sull'AI hanno reso la produzione di contenuti sintetici molto più semplice rispetto a quando servivano competenze tecniche complesse
Quali usi legittimi può avere la tecnologia dei deepfake?;Applicazioni nel cinema nella formazione nella ricerca nella localizzazione dei contenuti e nella produzione audiovisiva
Qual è la vera questione da porsi di fronte a un deepfake secondo il modulo?;Chi controlla la tecnologia con quale scopo e se il pubblico viene informato che il contenuto è sintetico o manipolato
Che cos'è un'immagine sintetica?;Un'immagine creata o modificata artificialmente da un sistema informatico spesso attraverso l'intelligenza artificiale senza essere necessariamente una fotografia di una scena realmente esistita
Come può un sistema generativo creare un'immagine partendo da una descrizione testuale?;Generando nuovi elementi visivi sulla base delle istruzioni ricevute e delle caratteristiche apprese durante l'addestramento del modello
Per quali scopi possono essere utilizzate le immagini sintetiche?;Illustrazioni concept grafici materiali didattici prototipi campagne pubblicitarie e ambientazioni cinematografiche
Qual è la differenza tra immagine realistica e immagine reale?;Un'immagine realistica appare credibile ma non significa che rappresenti qualcosa realmente accaduto mentre un'immagine reale documenta un fatto avvenuto davvero
Quando un'immagine sintetica diventa problematica?;Quando viene presentata come una fotografia autentica con l'obiettivo di ingannare
Che cos'è un video sintetico?;Un contenuto audiovisivo generato o modificato artificialmente attraverso sistemi informatici spesso basati sull'intelligenza artificiale
Qual è l'obiettivo principale nella creazione di un video sintetico coerente?;Mantenere continuità tra un fotogramma e il successivo così che la persona mantenga lo stesso aspetto e la scena resti plausibile
Da quali elementi possono partire i sistemi moderni per generare un video sintetico?;Da una descrizione testuale da un'immagine o da materiale video esistente
Quali applicazioni positive possono avere i video sintetici?;Ambientazioni ed effetti speciali nel cinema simulazioni nella formazione contenuti promozionali nel marketing e visualizzazione di idee nella progettazione
Perché un video possiede una forza persuasiva maggiore rispetto a una semplice frase scritta?;Perché vedere una persona parlare e muoversi produce nel cervello una sensazione di immediatezza simile a un'esperienza vissuta direttamente
Qual è un errore frequente da evitare quando si valuta un video sospetto?;Cercare necessariamente qualcosa di strano nel volto o nei movimenti invece di verificarne la fonte
Che cos'è la clonazione vocale?;Una tecnologia che utilizza l'intelligenza artificiale per generare una voce artificiale molto simile a quella di una persona reale partendo da registrazioni della sua voce
Quali caratteristiche della voce può apprendere un sistema di clonazione vocale?;Tono pronuncia ritmo e timbro
Quali applicazioni utili può avere la clonazione vocale?;Produzione cinematografica e audiovisiva localizzazione di contenuti assistenti vocali accessibilità e strumenti educativi
Perché la voce da sola non può più essere considerata una prova certa dell'identità di chi parla?;Perché una voce può essere imitata attraverso la clonazione vocale
Quale elemento dovrebbe far scattare un campanello d'allarme in una richiesta ricevuta per telefono o messaggio?;L'urgenza soprattutto quando arriva attraverso un canale che non consente di verificare facilmente l'identità
Qual è la strategia più efficace contro una possibile truffa basata su voce clonata?;Introdurre un secondo canale di verifica come richiamare un numero già posseduto o verificare tramite email aziendale
Che cosa sono i contenuti sintetici?;Contenuti digitali generati o modificati artificialmente attraverso sistemi informatici spesso basati sull'intelligenza artificiale
Quali rischi possono introdurre i contenuti sintetici secondo il modulo?;Inganno disinformazione problemi di privacy danni alla reputazione rischi per la sicurezza e uso non consensuale dei dati personali
Che cos'è il liar's dividend o vantaggio del bugiardo?;La possibilità per una persona di negare un contenuto autentico sostenendo semplicemente che sia stato generato dall'AI
Qual è la regola fondamentale sui contenuti sintetici indicata alla fine del modulo?;Un contenuto convincente non è necessariamente autentico e un contenuto generato dall'AI non è necessariamente falso o dannoso
Quali sono i due estremi da evitare di fronte ai contenuti digitali secondo il modulo?;Credere a tutto e non credere a nulla
Cosa significa sviluppare la competenza di verificare la provenienza di un contenuto digitale?;Osservare la fonte il contesto e la data e confrontare informazioni provenienti da fonti indipendenti
Cosa deve fare una persona davanti a un contenuto video o immagine sospetto secondo il modulo?;Non chiedersi solo se sembra vero ma anche da dove arriva e se può essere confermato attraverso un'altra fonte
La tecnologia dei contenuti sintetici è di per sé positiva o negativa?;Non è né positiva né negativa di per sé è uno strumento che dipende da come viene utilizzato
