Chi rilasciò la prima versione del browser Mosaic il 23 gennaio 1993?;I programmatori Marc Andreessen e Eric Bina del National Center for Supercomputing Applications
Cosa introdusse per primo il browser Mosaic rispetto ai browser precedenti?;Mostrò testo e immagini insieme nella stessa pagina invece che in finestre separate
Quali elementi oggi comuni in ogni browser derivano direttamente dalla prima versione di Mosaic?;Il pulsante indietro i segnalibri e le immagini incorporate nel testo
A cosa viene paragonato il browser nella metafora dell'interprete simultaneo?;A un interprete che traduce in tempo reale il linguaggio tecnico del server in un discorso comprensibile per l'utente
Chi fondò Google nel 1998 e da quale progetto di ricerca universitario nacque?;Larry Page e Sergey Brin dell'Università di Stanford a partire dal progetto BackRub
Come si chiamava l'algoritmo alla base del successo di Google e su cosa si basava?;PageRank che valutava l'importanza di una pagina anche in base a quante altre pagine vi facessero riferimento con un collegamento
Quante ricerche al giorno elaborava già Google entro il 1999?;Circa 500.000 ricerche al giorno
A cosa viene paragonato l'uso di un motore di ricerca nella metafora dell'abitante del posto?;A chiedere indicazioni a un abitante informato che indica le strade più promettenti invece di conoscerle già a memoria
Come si comporta un motore di ricerca quando l'utente non conosce alcun nome specifico ma solo cosa sta cercando?;Restituisce in una frazione di secondo un elenco ordinato di siti possibili tra cui scegliere
Cosa stabilì nell'agosto 2024 il giudice statunitense Amit Mehta riguardo a Google?;Che Google avesse costruito e mantenuto una posizione di monopolio illegale nel mercato della ricerca online
Quanto pagava circa Google ogni anno ad Apple per essere il motore di ricerca predefinito su Safari?;Circa 20 miliardi di dollari
Cosa dimostra il caso della sentenza contro Google del 2024 riguardo alla distinzione tra browser e motore di ricerca?;Che la maggior parte delle persone non distingue mai davvero tra l'aprire un browser e l'usare un motore di ricerca
A cosa vengono paragonati rispettivamente il browser e il motore di ricerca nella metafora dell'automobile?;Il browser all'automobile stessa e il motore di ricerca al navigatore satellitare installato a bordo
Chi ideò l'HTTP cookie nel giugno 1994 e per quale azienda lavorava?;Lou Montulli ingegnere di Netscape Communications
Per quale problema tecnico fu ideato originariamente il cookie?;Per permettere ai siti di ricordare un visitatore da una pagina all'altra ad esempio per un carrello della spesa
Quale rammarico espresse pubblicamente Lou Montulli riguardo alla sua invenzione?;Che il cookie fosse diventato nel tempo anche lo strumento alla base della pubblicità mirata online un uso non previsto in origine
Perché il carrello di un sito può rimanere pieno anche dopo giorni dall'ultima visita?;Grazie a un cookie salvato nel browser che conserva le informazioni sugli articoli aggiunti
A cosa vengono paragonati i cookie nella metafora dei biscotti della fortuna?;A un oggetto piccolo che nasconde un biglietto scritto che il sito consegna al browser e che il browser gli riporta a ogni visita successiva
Qual è la differenza tra ciò che ricordano i cookie e ciò che ricorda la cache?;I cookie ricordano informazioni su chi sta navigando mentre la cache ricorda i contenuti stessi di un sito indipendentemente da chi lo visiti
Chi lanciò nel 1995 una sfida alla comunità del MIT per risolvere il rallentamento di Internet?;Tim Berners-Lee l'inventore del Web
Quale azienda nacque nel 1998 dalla sfida di Tim Berners-Lee sul rallentamento di Internet e chi la fondò?;Akamai fondata dal matematico Tom Leighton e dall'informatico Danny Lewin
Qual era l'idea centrale di Akamai per risolvere il problema della lentezza di Internet?;Distribuire copie dei contenuti più richiesti su migliaia di server nel mondo così che ogni utente li ricevesse dalla copia più vicina
Quale evento del 1999 rese evidente al grande pubblico il problema della lentezza di Internet legato ai contenuti richiesti in massa?;L'uscita online del trailer del film Star Wars Episodio I che mandò in sovraccarico numerosi siti
Perché un sito visitato spesso si carica più velocemente di uno nuovo?;Perché grazie alla cache il browser non deve riscaricare elementi già conservati come loghi e icone
A cosa viene paragonata la cache nella metafora del menu del ristorante?;Ad avere già in tasca il menu di un ristorante già visitato senza doverlo richiedere di nuovo alla cameriera
Cosa rivelò nel marzo 2018 l'inchiesta giornalistica su Cambridge Analytica?;Che l'azienda aveva raccolto dati di fino a 87 milioni di profili Facebook tramite un'app di test della personalità senza consenso consapevole
Per cosa vennero utilizzati i dati raccolti da Cambridge Analytica?;Per costruire profili comportamentali e indirizzare contenuti politici su misura in vista delle elezioni presidenziali statunitensi del 2016
Quali conseguenze ebbe il caso Cambridge Analytica per Facebook?;Un'audizione del fondatore davanti al Congresso degli Stati Uniti e una sanzione da 5 miliardi di dollari della Federal Trade Commission
Cosa spiega il fatto che una pubblicità vista per un prodotto ricercato continui a comparire anche su siti non correlati?;Quasi certamente un cookie di terza parte che ha registrato le ricerche e le ha portate con sé su altri siti
A cosa viene paragonata la navigazione personalizzata su Internet nella metafora dello specchio?;A uno specchio costruito apposta che riflette una versione del mondo ricomposta a partire dalle proprie tracce passate
