Cosa spinse Drew Houston a creare Dropbox nel giugno 2007?;Aver dimenticato a casa la chiavetta USB con i file che gli servivano durante un viaggio in autobus
Quando fu reso pubblico il servizio Dropbox fondato da Drew Houston e Arash Ferdowsi?;Nel settembre 2008
A quanto fu valutato Dropbox quando venne quotato in borsa nel 2018?;Oltre 12 miliardi di dollari
Cosa pubblicò Abhay Bhushan il 16 aprile 1971?;Il documento RFC 114 che descriveva il File Transfer Protocol o FTP per trasferire file tra computer collegati ad ARPANET
Quali comandi fondamentali definì Bhushan fin dalla prima versione dell'FTP?;Retrieve per scaricare Store per caricare e Delete per eliminare
Chi fondò l'azienda che diede vita alla suite Zoho nel 2005?;Sridhar Vembu insieme al socio Tony Thomas partendo dall'azienda AdventNet fondata nel 1996
Che scelta particolare fece Sridhar Vembu riguardo agli investimenti esterni per Zoho?;Rifiutò più volte investimenti esterni incluso un'offerta di acquisizione da parte di Salesforce preferendo crescere con i soli ricavi propri
Cosa descrissero i ricercatori Clarence Ellis e Simon Gibbs in uno studio del 1989?;Una tecnica chiamata trasformazione operazionale sviluppata nel sistema sperimentale GROVE per riconciliare automaticamente le modifiche simultanee di più utenti allo stesso testo
Da quale anno la trasformazione operazionale è diventata il meccanismo alla base della collaborazione in tempo reale di Google Documenti?;Dal 2009
Cosa scoprì il ricercatore Kushagra Pathak nel maggio 2018 riguardo a Trello?;Che migliaia di aziende avevano reso pubbliche senza accorgersene le proprie bacheche contenenti dati sensibili come credenziali e indirizzi email
Cosa precisò il co-fondatore di Trello Michael Pryor riguardo alla vicenda del 2018?;Che non si trattava di una falla di sicurezza del servizio ma della scarsa attenzione con cui gli utenti avevano scelto le proprie impostazioni di condivisione
Cosa rese pubblico Ward Cunningham il 25 marzo 1995?;WikiWikiWeb il primo sito al mondo pensato per essere modificato direttamente da chiunque lo visitasse
Perché ogni pagina di WikiWikiWeb conservava fin dall'inizio una cronologia completa delle modifiche?;Perché dare a chiunque la possibilità di modificare il testo comportava il rischio che un errore o una modifica in malafede rovinasse il lavoro di chi era intervenuto prima
