Quali canali si possono usare per condividere immagini e video da un dispositivo mobile?;Email app di messaggistica social media o Bluetooth
Cosa significa l'acronimo MMS?;Multimedia Messaging Service
Cosa significa l'acronimo SMS?;Short Message Service
Perché gli SMS non permettevano di inviare direttamente immagini?;Perché erano pensati principalmente per il testo
Che cos'è un'app?;Un programma pensato per un dispositivo mobile
Che cos'è un app store?;Il negozio digitale ufficiale da cui le app vengono scaricate e installate in sicurezza
Perché è più sicuro scaricare un'app dall'app store ufficiale invece che da una fonte sconosciuta?;Perché l'app store verifica la sicurezza e la qualità minima delle app prima di renderle disponibili al pubblico
Cosa significa installare un'app?;Renderla disponibile sul dispositivo
Cosa significa disinstallare un'app?;Rimuoverla insieme di norma ai dati che aveva salvato localmente
Cosa significa aggiornare un'app?;Sostituirla con una versione più recente spesso in modo del tutto automatico
Cosa rende utile un'app su un dispositivo mobile secondo l'esempio delle app di mappe?;Non tanto la varietà delle funzioni quanto la sua immediatezza calcolando percorsi e aggiornando in tempo reale la posizione
Che cos'è la sincronizzazione?;Il processo che mantiene aggiornati e identici gli stessi dati su più dispositivi collegati allo stesso account senza copiarli manualmente
Cosa permettono di scegliere le opzioni di sincronizzazione?;Cosa sincronizzare come posta calendario o foto e con quale frequenza
