Cos'è una password?;La chiave che protegge l'accesso a un account o a un servizio digitale riservato
Perché è rischioso usare la stessa password per più account?;Perché se un servizio subisce una violazione la stessa password può essere provata su tutti gli altri account
Quali caratteristiche rendono una password facilmente indovinabile?;Essere un nome comune una data di nascita o una sequenza di numeri consecutivi
Perché una password imprevedibile è più difficile da violare?;Perché richiede più tempo e risorse per essere indovinata o testata automaticamente
Cos'è l'ingegneria sociale?;L'insieme di tecniche con cui un malintenzionato inganna una persona e non un sistema informatico per ottenere informazioni riservate
Qual è il punto debole che nessuna protezione tecnica riesce a coprire da sola?;Le persone
Perché la posta elettronica occupa una posizione particolare nella sicurezza degli account?;Perché è quasi sempre il punto di riferimento delle procedure di recupero password degli altri servizi
Cos'è il phishing?;Una tecnica di inganno online in cui un malintenzionato si finge un mittente affidabile per convincere la vittima a fornire dati riservati
Il phishing sfrutta una falla tecnica di un sistema per funzionare?;No chiede con inganno che sia la vittima stessa a fornire l'informazione desiderata
Quali elementi caratterizzano tipicamente un messaggio di phishing?;Un mittente apparentemente affidabile un senso di urgenza o allarme e un invito a cliccare un link o inserire dati riservati
Da cosa deriva il termine malware?;Dalla crasi inglese di malicious software cioè software dannoso
Cos'è il malware?;Qualunque programma progettato per danneggiare spiare o prendere il controllo di un dispositivo installato senza consenso consapevole
Cos'è un virus informatico?;Un malware che si attacca ad altri file o programmi e si diffonde copiandosi da un dispositivo all'altro
Cos'è un trojan?;Un malware che si presenta come qualcosa di utile o desiderabile ma nasconde al proprio interno una funzione dannosa
Cos'è un ransomware?;Un malware che cifra i file del dispositivo colpito rendendoli inaccessibili e chiede un pagamento per restituirne l'accesso
In che modo generalmente riescono ad arrivare i malware su un dispositivo?;Camuffati da qualcosa che l'utente stesso decide di aprire installare o eseguire convinto che sia legittimo
Cos'è la netiquette?;L'insieme di regole di comportamento non scritte ma largamente condivise che regolano la comunicazione online
Da quali due parole deriva il termine netiquette?;Da network ed etichetta
Un messaggio vago richiede più o meno sforzo a chi risponde rispetto a un messaggio specifico?;Un messaggio vago richiede più tempo e sforzo rispetto a un messaggio specifico
Qual è la domanda semplice che riassume lo spirito della netiquette?;Se lo si direbbe allo stesso modo guardando negli occhi la persona a cui è indirizzato
