Cos'è un'interruzione di pagina?;Un comando che forza l'inizio di una nuova pagina in un punto preciso del documento
Quale scorciatoia inserisce un'interruzione di pagina?;CTRL+INVIO
Da dove si inserisce un'interruzione di pagina?;Da Inserisci o Layout Interruzione di pagina
Come appare un'interruzione di pagina con il pilcrow attivato?;Come una linea tratteggiata etichettata
Cos'è un'interruzione di colonna?;Un comando che forza il passaggio da una colonna alla successiva in un documento impaginato su più colonne
Cosa significa muoversi in un documento?;Spostarsi rapidamente da un punto all'altro del testo senza doverlo scorrere per intero
Quale comando cerca una parola o una frase in tutto il documento?;Trova richiamabile con CTRL+F
Quale comando sostituisce un testo con un altro in tutto il documento?;Trova e sostituisci richiamabile con CTRL+H
Cosa fa la scorciatoia CTRL+frecce?;Sposta il cursore di una parola o di un paragrafo alla volta
Cosa fanno i tasti Home e Fine?;Spostano il cursore all'inizio o alla fine della riga corrente
Cosa fanno le scorciatoie CTRL+Home e CTRL+Fine?;Spostano il cursore all'inizio o alla fine dell'intero documento
Cos'è l'intestazione (header) di un documento?;Un'area nella parte alta della pagina che può contenere un titolo un nome una data o un logo
Cos'è il piè di pagina (footer) di un documento?;Un'area nella parte bassa della pagina che ospita più spesso numeri di pagina note o riferimenti
Come si attiva l'intestazione di un documento?;Con un doppio clic nella zona superiore del foglio
Come si attiva il piè di pagina di un documento?;Con un doppio clic nella zona inferiore del foglio oppure da Inserisci Numero di pagina
Perché intestazione e piè di pagina sono elementi globali?;Perché una modifica fatta a essi si applica automaticamente a tutte le pagine del documento
Cos'è la numerazione di pagina in Word?;Un campo dinamico che Word calcola e aggiorna automaticamente ogni volta che il documento cambia lunghezza
Cos'è l'anteprima di stampa?;La visualizzazione prima della stampa effettiva di come il documento apparirà fisicamente su carta
Da dove si raggiunge l'anteprima di stampa?;Da File Stampa
Cosa mostra l'anteprima di stampa?;Dove cadranno i margini come si comporteranno le interruzioni di pagina e se immagini o intestazioni risulteranno fuori posto
Perché è utile controllare l'anteprima prima di una stampa importante?;Perché una volta stampate molte copie con un errore non si può più tornare indietro senza sprecare carta e tempo
