Nella metafora della cassaforte perché una combinazione di sole quattro cifre è pericolosa?;Perché è molto più semplice da aprire rispetto a una combinazione lunga e complessa
Nella metafora della cassaforte cosa succede se si usa la stessa combinazione per più cassaforti?;Basterebbe scoprirne una per aprirle tutte
Perché riutilizzare la stessa password su più servizi espone a un rischio maggiore in caso di violazione?;Perché se un sito subisce una violazione gli aggressori possono provare automaticamente le stesse credenziali su altri servizi come social network o conti bancari
Perché le password più comuni sono tra le prime che un attaccante prova?;Perché gli attaccanti provano prima le combinazioni che milioni di persone scelgono davvero e non password casuali
Perché condividere la propria password con altre persone rappresenta un rischio?;Perché una password per definizione dovrebbe essere conosciuta soltanto dal suo proprietario
Quali sono esempi di conservazione poco sicura delle password citati nel testo?;Fogli lasciati accanto al computer documenti non protetti o note dello smartphone senza protezione aggiuntiva
Nella metafora del mazzo di chiavi cosa rappresenta l'uso della stessa password per più account?;Come avere un'unica chiave che apre casa auto ufficio e cassaforte così perderla comprometterebbe tutto
Nella metafora della cassaforte dei password manager cosa rappresenta la Master Password?;La chiave che apre la cassaforte contenente tutte le altre chiavi organizzate e protette
Perché un password manager non rende un account invulnerabile?;Perché se l'utente comunica le proprie credenziali a un truffatore o usa una Master Password debole il rischio rimane
Nell'esempio dell'accesso email con password e codice dell'app quali due fattori vengono utilizzati?;Qualcosa che si conosce ossia la password e qualcosa che si possiede ossia lo smartphone
Nell'esempio con password codice dell'app e impronta digitale quali tre fattori vengono utilizzati?;Qualcosa che si conosce qualcosa che si possiede e qualcosa che si è
Nello scenario di accesso da un paese mai usato prima con dispositivo nuovo e orario insolito cosa può accadere?;L'accesso può essere bloccato oppure può essere richiesta un'ulteriore verifica in base al giudizio dinamico del rischio
Nella metafora dell'aeroporto applicata all'MFA cosa succede se si mostra soltanto il biglietto d'imbarco?;Non si può comunque salire sull'aereo perché serve anche un documento di identità o un controllo biometrico
Nell'esempio Instagram del lucchetto cosa possiede il servizio e cosa possiede lo smartphone?;Instagram possiede il lucchetto mentre lo smartphone conserva la chiave che non viene mai consegnata
Nell'esempio Instagram del lucchetto perché un sito falso non riesce a rubare la passkey?;Perché è come costruire una cassaforte con un lucchetto diverso e la chiave dell'utente non funziona su quel sito
Nella metafora dell'aeroporto applicata alle passkey come cambia il controllo rispetto alle password?;Non si mostra più un biglietto ma si conferma l'identità con impronta digitale riconoscimento del volto o PIN e il dispositivo funge da passaporto digitale
Nella metafora della serratura costruita per una sola chiave cosa succede se qualcuno copia la porta o convince l'utente a usarla altrove?;La chiave funziona comunque soltanto con la serratura originale
Perché anche una passkey non rende un account automaticamente invincibile?;Perché se un criminale ottiene già accesso all'account ad esempio rubando l'email o un codice di verifica potrebbe aggiungere un nuovo metodo di autenticazione
Qual è la differenza chiave tra password e passkey secondo la frase riassuntiva del modulo?;La password è una chiave che si deve consegnare ogni volta mentre la passkey è una chiave che rimane sempre con l'utente
