Cos'è una rete secondo la sua definizione?;Un insieme di due o più dispositivi collegati tra loro capaci di scambiarsi informazioni
Quando nasce una rete?;Quando due o più dispositivi comunicano tra loro
Cos'è Internet in fondo?;L'estensione più grande possibile del principio di comunicazione tra dispositivi su scala planetaria
Come si classificano principalmente le reti?;In base alla loro estensione geografica
Cosa significa l'acronimo LAN?;Local Area Network
Cosa significa l'acronimo MAN?;Metropolitan Area Network
Cosa significa l'acronimo WAN?;Wide Area Network
Cos'è una LAN?;La rete più piccola che collega dispositivi in uno spazio limitato come un'abitazione un ufficio o un negozio
Cos'è una MAN?;Una rete che collega più reti locali a livello di città o area metropolitana
Cos'è una WAN?;La rete più estesa possibile che copre intere nazioni o il pianeta intero
Cos'è Internet secondo la classificazione per estensione delle reti?;La più grande WAN mai costruita una rete di reti che collega LAN e MAN in tutto il mondo
Cos'è l'instradamento o routing secondo la sua definizione?;Il processo attraverso cui i dati suddivisi in pacchetti vengono indirizzati da un nodo all'altro fino alla destinazione
Cosa sono i pacchetti in una rete?;Le piccole unità in cui vengono suddivisi i dati prima di viaggiare nella rete
Cos'è un nodo in una rete?;Un dispositivo o un punto di passaggio della rete
I pacchetti di uno stesso messaggio seguono sempre lo stesso percorso?;No il sistema sceglie il percorso più efficiente disponibile in quell'istante e i pacchetti possono seguire strade diverse
Cosa succede ai pacchetti una volta arrivati tutti a destinazione?;Vengono ricomposti nell'ordine corretto restituendo il messaggio originale intatto
Cosa significa l'acronimo IP riferito a un indirizzo di rete?;Internet Protocol
Cos'è un indirizzo IP secondo la sua definizione?;La sequenza numerica univoca che identifica un dispositivo all'interno di una rete
Cosa riceve ogni dispositivo che si collega a una rete?;Un proprio indirizzo IP
Qual è la differenza tra ciò che identifica l'IP e ciò che decide l'instradamento?;L'IP identifica il luogo mentre l'instradamento decide come raggiungerlo
Cosa significa l'acronimo DNS?;Domain Name System cioè Sistema dei Nomi di Dominio
Cosa fa il DNS secondo la sua definizione?;Traduce i nomi di dominio facili da ricordare per le persone negli indirizzi IP corrispondenti necessari alle macchine
Perché serve il DNS se le persone potrebbero digitare direttamente un indirizzo IP?;Perché le persone ricordano più facilmente un nome mentre la rete ha bisogno di un indirizzo IP per instradare i dati
