Cos'è il software secondo la sua definizione?;L'insieme dei programmi che dicono al computer cosa fare in ogni istante
In quali due grandi famiglie si divide il software?;Software di sistema e software applicativo
A cosa serve il software di sistema?;A far funzionare il computer stesso
A cosa serve il software applicativo?;A permettere di usare il computer per fare qualcosa di concreto e specifico
Perché né il software di sistema né quello applicativo bastano da soli?;Perché il primo prepara le condizioni e il secondo le sfrutta per un obiettivo reale
Cos'è il sistema operativo secondo la sua definizione?;Il software principale del computer che gestisce le risorse hardware coordina i programmi e permette all'utente di usare il dispositivo
Quali sono alcuni esempi di sistemi operativi diffusi?;Windows macOS Android e iOS
Cosa succede a un computer senza sistema operativo?;Non sarebbe utilizzabile perché nessun programma potrebbe aprirsi e nessuna periferica potrebbe essere riconosciuta
Cosa succede al sistema operativo dopo essere stato caricato nella RAM?;Resta sempre attivo per tutto il tempo in cui il computer è acceso
Cos'è il software applicativo secondo la sua definizione?;L'insieme dei programmi che permettono di svolgere attività specifiche e concrete diverse dalla gestione del computer stesso
Quali sono alcuni esempi di software applicativo?;Microsoft Word Microsoft Excel Google Chrome WhatsApp e Spotify
Cosa succederebbe a un computer senza software applicativo?;Continuerebbe tecnicamente a funzionare ma non servirebbe a nulla di pratico per chi lo usa ogni giorno
Cos'è una licenza software?;L'insieme di regole che stabilisce come un programma può essere usato copiato modificato o distribuito
Cosa caratterizza una licenza proprietaria?;Uso limitato spesso a pagamento con codice sorgente non accessibile
Cosa caratterizza una licenza open source?;Codice sorgente accessibile e modificabile liberamente da chiunque abbia le competenze
Cos'è uno shareware?;Una versione di prova temporanea prima di un eventuale acquisto
Cos'è un freeware?;Software gratuito pur senza rendere necessariamente pubblico il codice sorgente
Cosa significa l'acronimo EULA?;End User License Agreement cioè Accordo di Licenza con l'Utente Finale
Cos'è un EULA secondo la sua definizione?;Il contratto che regola il rapporto tra chi crea un software e chi lo usa specificando diritti limiti e responsabilità
Le condizioni di una licenza software possono cambiare nel tempo?;Sì possono cambiare a seconda di chi controlla il software in un dato momento
Cosa può stabilire concretamente un EULA riguardo a un programma?;Cosa il programma può fare sul dispositivo quali dati può raccogliere e cosa succede in caso di problemi
