Cosa lanciarono Sam Schillace Steve Newman e Claudia Carpenter nell'agosto del 2005?;Writely un elaboratore di testi che funzionava interamente nel browser e permetteva a più persone di scrivere sullo stesso documento
Cosa accadde a Writely nel marzo 2006?;Google lo acquisì e nell'ottobre dello stesso anno lo rilanciò con il nome Google Documenti
Cosa lanciò l'azienda Lotus il 7 dicembre 1989?;Lotus Notes il primo prodotto a mettere insieme posta elettronica documenti condivisi discussioni organizzate e strumenti per automatizzare flussi di lavoro
Che nome diede Lotus Notes a un'intera categoria di software?;Groupware
Cosa lanciarono Jimmy Wales e Larry Sanger il 15 gennaio 2001?;Wikipedia nata come costola del progetto Nupedia che pubblicava articoli solo dopo revisione di esperti universitari
Quante voci aveva pubblicato Nupedia nel suo primo anno rispetto a Wikipedia?;Nupedia appena 21 voci mentre Wikipedia arrivò a 18.000 voci entro la fine del primo anno
Cosa accadde dopo il terremoto di Port-au-Prince del 12 gennaio 2010?;Oltre 600 volontari da tutto il mondo si organizzarono online attraverso OpenStreetMap per tracciare da remoto le mappe della città colpita
Cosa nacque dall'esperienza della mappatura collaborativa di Haiti nel 2010?;L'Humanitarian OpenStreetMap Team ancora oggi attivo dopo ogni grande emergenza nel mondo
Come crebbero i download di Zoom tra febbraio e marzo 2020?;Passarono da 6.2 milioni a 76 milioni una crescita di oltre il mille per cento in poche settimane
Quali contromisure consigliò l'FBI contro il fenomeno dello zoombombing?;Rendere le riunioni private richiedere una password per l'accesso e attivare una sala d'attesa che lasci entrare solo chi viene approvato
Chi fondò l'organizzazione Creative Commons nel 2001?;Il giurista Lawrence Lessig insieme a Hal Abelson ed Eric Eldred
Quanti contenuti digitali erano stati distribuiti con licenza Creative Commons entro il 2007?;Oltre 100 milioni
