Cos'è la Cybersecurity?;L'insieme di tecnologie procedure strategie e comportamenti utilizzati per proteggere sistemi informatici
Da quali due termini deriva la parola Cybersecurity?;Da Cyber che riguarda il mondo digitale e le reti informatiche e Security che significa sicurezza
Cosa indica l'acronimo CIA Triad?;Confidentiality Integrity e Availability i tre pilastri della sicurezza informatica
Cosa significa Confidentiality nella CIA Triad?;Che le informazioni sono accessibili soltanto alle persone autorizzate
Cosa significa Integrity nella CIA Triad?;Che i dati sono corretti e non alterati da soggetti non autorizzati
Cosa significa Availability nella CIA Triad?;Che le informazioni sono accessibili quando servono
Cosa riguarda la cybersecurity oltre alla tecnologia?;Persone comportamenti procedure e consapevolezza
Cos'è una minaccia digitale?;Qualsiasi evento soggetto o attività che può compromettere la sicurezza di dati dispositivi reti o servizi informatici
Cosa significa la parola malware?;Software malevolo dall'unione di malicious e software
Cos'è un virus informatico?;Un malware che infetta altri file e ha bisogno di un'azione dell'utente per diffondersi
Cos'è un worm?;Un malware che si replica e si diffonde automaticamente attraverso le reti senza bisogno dell'apertura di un file da parte dell'utente
Cos'è un Trojan?;Un malware che si finge un programma legittimo e svolge attività nascoste una volta installato
Da cosa prende il nome il Trojan?;Dal Cavallo di Troia perché nasconde un pericolo al suo interno pur sembrando innocuo
Cos'è uno spyware?;Un software progettato per spiare l'utente e raccogliere informazioni sulle sue abitudini
Cos'è un keylogger?;Un malware che registra tutto ciò che viene digitato sulla tastiera come password ed email
Cos'è un ransomware?;Un malware che blocca o cifra i file rendendoli inutilizzabili e chiede un pagamento per ripristinare l'accesso
Da cosa deriva il nome ransomware?;Dalla parola inglese ransom che significa riscatto
Cos'è il Social Engineering?;L'insieme delle tecniche utilizzate per manipolare una persona e convincerla a compiere spontaneamente un'azione favorevole al criminale
Cosa sfrutta soprattutto il Social Engineering?;Fiducia paura urgenza curiosità autorità e distrazione
Cos'è il phishing?;Una tecnica di inganno che mira a convincere una persona a fornire credenziali dati personali o pagamenti
Da quale parola inglese deriva il termine phishing?;Da fishing che significa pescare
Attraverso quali canali può arrivare oggi un tentativo di phishing?;Email SMS WhatsApp social network telefonate e QR Code
Cos'è il vishing?;Una forma di phishing che utilizza le telefonate invece di email o messaggi
Da quali parole deriva il termine vishing?;Da voice e phishing
Cos'è lo smishing?;Una forma di phishing che utilizza SMS o messaggi di testo
Da quali parole deriva il termine smishing?;Da SMS e phishing
Cos'è il quishing?;Una forma di phishing che utilizza un codice QR per convincere la vittima ad aprire un sito fraudolento
Da quali parole deriva il termine quishing?;Da QR Code e phishing
Cos'è lo Spear Phishing?;Una forma di phishing personalizzata e costruita su misura per la vittima con informazioni reali su di lei
Cos'è l'Account Takeover?;La presa di controllo dell'account di una vittima da parte di un criminale che ne assume il controllo completo
Attraverso quali strumenti un criminale può realizzare un Account Takeover?;Password rubate phishing malware o Data Breach
Cos'è un Data Breach?;Una violazione dei dati in cui informazioni riservate vengono esposte sottratte o divulgate senza autorizzazione
Cos'è una minaccia in cybersecurity?;Qualsiasi elemento capace di causare un danno come una persona un software malevolo o un evento pericoloso
Cos'è una vulnerabilità in cybersecurity?;Una debolezza che può essere sfruttata da una minaccia e che può riguardare una tecnologia una procedura o un comportamento umano
Cos'è il rischio in cybersecurity?;La possibilità che una minaccia sfrutti una vulnerabilità causando un danno
Cos'è la superficie d'attacco?;L'insieme di tutti i punti attraverso cui un attaccante può tentare di accedere a un sistema
Quali categorie principali compongono la superficie d'attacco?;Dispositivi software e applicazioni account e credenziali reti e connessioni e persone
Cosa significa l'acronimo IoT?;Internet of Things ossia Internet delle cose
Cos'è il Movimento Laterale?;La tecnica con cui un attaccante dopo essere entrato in una rete si sposta da un dispositivo all'altro per raggiungere obiettivi di maggior valore
Cos'è la Reconnaissance in un attacco informatico?;La fase di ricognizione in cui il criminale osserva il bersaglio e raccoglie informazioni prima di attaccare
Cos'è il fingerprinting in questo contesto?;Un'attività di raccolta di informazioni che permette a un attaccante di pianificare l'attacco
Cos'è il fattore umano in cybersecurity?;L'insieme dei comportamenti delle decisioni e delle azioni delle persone che possono influenzare la sicurezza di un sistema informatico
Cosa aumenta il rischio legato alle password?;Usare password semplici o riutilizzare la stessa password su più servizi
Cosa può causare la distrazione in ambito di sicurezza informatica?;Aprire allegati sconosciuti cliccare link sospetti o ignorare avvisi di sicurezza
Perché l'eccesso di fiducia è pericoloso in cybersecurity?;Perché l'attaccante può presentarsi come una figura autorevole o affidabile per ottenere accesso
Perché la mancanza di formazione è un rischio per la sicurezza?;Perché gli utenti spesso non riconoscono i segnali di un tentativo di truffa
Quali rischi comporta la condivisione eccessiva di informazioni online?;Può fornire dati preziosi agli attaccanti utili per il Social Engineering
Perché la cybersecurity è considerata un processo?;Perché è un'attività continua di protezione verifica e aggiornamento e non un'azione da compiere una sola volta
