Cos'è un grafico inserito in PowerPoint?;La rappresentazione visiva di una serie di dati dello stesso tipo di quelli già visti in Excel
Quali sono i tipi di grafico più comuni disponibili in PowerPoint?;A colonne a barre a linee o a torta
Da dove si inserisce un grafico in PowerPoint?;Da Inserisci Grafico scegliendo il tipo desiderato tra le categorie proposte
Cosa compare sullo schermo quando si inserisce un grafico in PowerPoint?;Una finestra di Excel con una piccola tabella di dati di esempio da sostituire con i propri numeri
Quale programma richiama PowerPoint per gestire i dati alla base di un grafico?;Excel
Cosa succede al grafico su una diapositiva se si modificano i dati di origine in Excel?;L'immagine sulla diapositiva si aggiorna da sola
Cosa significa inserire immagini e schermate in PowerPoint?;Aggiungere a una diapositiva un contenuto visivo come una fotografia un'immagine trovata online o la cattura dello schermo
Da dove si inserisce un'immagine salvata sul computer in PowerPoint?;Da Inserisci Immagini Questo dispositivo
Cosa permette di fare la funzione immagini online in PowerPoint?;Di cercare direttamente sul web un'immagine senza uscire dal programma
Cosa fa la funzione Schermata in PowerPoint?;Cattura in un solo clic ciò che è visibile in quel momento su un'altra finestra o una porzione scelta dello schermo
A cosa serve la funzione album foto in PowerPoint?;A scegliere più immagini insieme e generare automaticamente una diapositiva per ciascuna con layout e didascalie già pronti
Cosa sono le forme in PowerPoint?;Oggetti grafici semplici come linee frecce rettangoli ovali e caselle di testo
Da dove si disegna una forma su una diapositiva?;Dalla scheda Inserisci Forme
Per cosa sono adatti rettangoli ovali e caselle di testo tra le forme?;A evidenziare un'area o inserire una didascalia isolata dal resto del testo
A cosa servono in particolare le linee e le frecce tra le forme?;A collegare o indicare una relazione una direzione o un percorso
Come si scrive del testo dentro una forma in PowerPoint?;Facendo doppio clic sulla forma e digitando il testo che si adatta automaticamente allo spazio disponibile
Cosa significa disporre e organizzare gli oggetti in PowerPoint?;Modificarne orientamento e posizione e gestire come più oggetti convivono sulla stessa diapositiva
Come si ruota un oggetto selezionato in PowerPoint?;Trascinando la piccola freccia circolare che compare sopra di esso
Da dove si capovolge un oggetto orizzontalmente o verticalmente in PowerPoint?;Dal menu Disponi nella scheda Home
A cosa serve la funzione Allinea nel menu Disponi?;Ad allineare un oggetto rispetto alla diapositiva o più oggetti tra loro
In che ordine PowerPoint tiene più oggetti sovrapposti sulla stessa diapositiva?;In un ordine preciso uno sopra l'altro come fogli impilati
Cosa fanno i comandi Porta avanti e Porta indietro?;Cambiano l'ordine di sovrapposizione degli oggetti uno strato alla volta
Cosa significa raggruppare più oggetti in PowerPoint?;Farli comportare come un unico oggetto spostabile e ridimensionabile insieme
