Cos'è un browser?;Il programma che permette di accedere e navigare le risorse del Web interpretando il codice ricevuto dai server
In quale forma arriva la risposta di un server al browser?;Come codice soprattutto HTML pensato per essere interpretato da una macchina
Cosa fa il browser con il codice ricevuto dal server?;Lo legge e lo trasforma in testo immagini pulsanti e menu leggibili
Ciò che vediamo sullo schermo del browser è davvero Internet in senso stretto?;No è una rappresentazione costruita dal browser a partire dal codice ricevuto
Perché browser diversi possono mostrare la stessa pagina con piccole differenze?;Perché ciascun browser interpreta il codice ricevuto secondo le proprie regole interne
Quali sono alcuni esempi di browser?;Google Chrome Safari Mozilla Firefox e Microsoft Edge
Cos'è un motore di ricerca?;Un sistema che permette di trovare risorse sul Web a partire da parole chiave senza conoscere in anticipo l'indirizzo esatto
Cosa fa un motore di ricerca con le pagine del Web che raccoglie?;Le confronta e le ordina per rilevanza rispetto alle parole chiave digitate
Un motore di ricerca contiene davvero il Web al suo interno?;No aiuta semplicemente a orientarsi al suo interno individuando i punti più rilevanti
Cos'è il motore di ricerca rispetto al browser?;Un servizio raggiungibile tramite il browser che aiuta a trovare contenuti al suo interno
Cos'è il sito nel contesto della navigazione web?;La destinazione finale a cui si arriva
In quali due modi ci si può muovere sul Web secondo quanto spiegato nel modulo?;Digitando direttamente l'URL se si conosce già la destinazione oppure usando un motore di ricerca se non la si conosce
Il motore di ricerca è sempre necessario per usare il browser?;No il browser è sempre presente mentre il motore di ricerca entra in gioco solo quando serve
Cosa sono i cookie?;Piccoli file che i siti fanno salvare nel browser dell'utente per ricordare informazioni tra una visita e l'altra
Che tipo di informazioni può contenere un cookie?;La lingua scelta i dati di accesso e gli articoli messi nel carrello
Chi restituisce il cookie al sito alla visita successiva?;Il browser stesso
Cosa viene conservato realmente dentro un cookie?;Una traccia delle azioni precedenti dell'utente e non l'utente stesso
Un sito da solo può ricordare i visitatori senza l'aiuto del browser?;No ogni pagina caricata è come se si presentasse un visitatore mai visto prima
Cos'è la cache?;Una memoria temporanea in cui il browser conserva parti già scaricate di un sito per non richiederle di nuovo al server
La cache è una memoria permanente?;No viene aggiornata o svuotata periodicamente
Cosa scarica dal server il browser alla visita successiva se ha già una cache del sito?;Solo ciò che è effettivamente cambiato nel frattempo
Cos'è la personalizzazione nel contesto della navigazione web?;L'insieme dei meccanismi come cookie cache cronologia e posizione IP con cui Internet adatta i contenuti al comportamento di ciascun utente
Cosa sono i cookie di prima parte?;Cookie creati e utilizzati soltanto dal sito che si sta visitando in quel momento
Cosa sono i cookie di terza parte?;Cookie appartenenti ad altre aziende spesso pubblicitarie i cui contenuti sono incorporati in molti siti diversi
Cosa permettono di fare i cookie di terza parte?;Permettono a un annuncio pubblicitario visto su un sito di seguire l'utente anche su siti diversi
Internet conosce le persone come individui o solo i loro comportamenti?;Riconosce i comportamenti cioè cosa cercano guardano e cliccano non le persone in sé
