Cos'è l'identità digitale?;L'insieme delle informazioni dei dati dei contenuti e delle attività che identificano una persona nel mondo digitale
Cosa comprende l'identità digitale?;Sia le informazioni pubblicate volontariamente sia quelle generate automaticamente dai servizi online
Quali sono esempi di informazioni generate automaticamente che fanno parte dell'identità digitale?;Gli accessi ai siti web gli acquisti effettuati e le interazioni con le applicazioni
L'identità digitale è composta solo da ciò che dichiariamo di essere?;No anche da ciò che facciamo come abitudini interessi preferenze e relazioni
L'identità digitale rimane sempre uguale nel tempo?;No cambia continuamente in base alle nuove attività svolte online
Chi può consultare le informazioni pubbliche di una persona prima di instaurare un rapporto?;Scuola università aziende e organizzazioni
Cosa sono le tracce digitali?;Tutte le informazioni lasciate durante l'utilizzo di dispositivi applicazioni e servizi online
In quali due tipi si dividono le tracce digitali?;Tracce attive e tracce passive
Cosa sono le tracce attive?;Le informazioni lasciate volontariamente come pubblicare una foto o scrivere un commento
Cosa sono le tracce passive?;Le informazioni generate automaticamente senza un'azione esplicita come l'indirizzo IP o gli orari di accesso
Le tracce digitali sono sempre qualcosa di negativo?;No permettono anche di personalizzare servizi ricordare preferenze e migliorare la sicurezza
Per quali finalità possono essere utilizzate le tracce digitali raccolte?;Finalità statistiche pubblicitarie o di profilazione
Cos'è la reputazione online?;L'immagine e la considerazione che gli altri si formano di noi in base alle informazioni disponibili su Internet
Da cosa dipende principalmente la reputazione online?;Dalle nostre attività digitali dai contenuti pubblicati e anche da ciò che altri pubblicano su di noi
Come si costruisce una buona reputazione online?;Nel tempo attraverso comportamenti coerenti rispettosi e responsabili
Quale domanda è utile porsi prima di pubblicare un contenuto online?;Se si sarebbe tranquilli a farlo leggere a un insegnante un datore di lavoro o un familiare
Cos'è la privacy online?;Il diritto di controllare la raccolta l'utilizzo la conservazione e la condivisione dei propri dati personali su Internet
Cosa significa proteggere la privacy online?;Decidere quali informazioni condividere con chi condividerle e per quale scopo
Tutti i permessi richiesti dalle applicazioni sono sempre indispensabili?;No non tutte le richieste di autorizzazione sono realmente necessarie
Cosa bisogna fare prima di concedere un permesso a un'applicazione?;Leggere con attenzione i permessi richiesti e concedere solo quelli necessari
Perché un'app di navigazione richiede l'accesso alla posizione?;Per poter indicare il percorso all'utente
Proteggere la privacy significa avere qualcosa da nascondere?;No significa decidere chi può conoscere aspetti della propria vita personale
Cos'è il diritto all'oblio?;Il diritto di chiedere che informazioni personali non più pertinenti non siano più facilmente reperibili sui motori di ricerca
Il diritto all'oblio cancella automaticamente ogni informazione da Internet?;No la richiesta viene valutata caso per caso
Cosa comporta di solito l'accoglimento di una richiesta di diritto all'oblio?;La deindicizzazione del contenuto dai risultati di ricerca associati al nome della persona
Cos'è la presenza digitale?;L'insieme delle informazioni dei contenuti e delle attività attraverso cui una persona è presente e riconoscibile nell'ambiente digitale
La presenza digitale coincide solo con l'attività sui social network?;No è più ampia e comprende anche informazioni pubblicate da altri o generate dai servizi utilizzati
Cosa significa essere consapevoli della propria presenza digitale?;Sapere cosa esiste online su di noi controllare ciò che possiamo e intervenire su informazioni non pertinenti
Cos'è l'identità consapevole?;La capacità di gestire intenzionalmente la propria identità digitale valutando cosa si condivide e le possibili conseguenze
Quali sono le quattro domande utili per sviluppare un'identità consapevole?;Cosa sto condividendo Con chi Perché e Potrei essere ancora d'accordo tra qualche anno
Cosa possiamo controllare secondo il modulo riguardo a Internet?;Non possiamo controllare tutto ciò che Internet conserva di noi ma possiamo controllare cosa scegliamo di aggiungere
