Quale componente hardware funge da base fisica e mette in comunicazione tutti gli altri componenti di un computer?,La scheda madre (Motherboard).
Qual è il compito principale della CPU (Central Processing Unit)?,Elaborare le istruzioni e prendere decisioni.
Come viene definita la memoria veloce e temporanea utilizzata per caricare i programmi in uso?,RAM (Random Access Memory).
Quale memoria conserva i dati in modo permanente anche quando il computer è spento?,Le memorie di massa (come HDD e SSD).
Qual è la funzione specifica della ROM (Read-Only Memory) all'interno di un computer?,Contenere le istruzioni base necessarie per l'avvio del sistema.
Quale categoria di dispositivi permette lo scambio di informazioni tra il computer e l'ambiente esterno?,Dispositivi di input/output.
In quale data storica venne presentato l'IBM Personal Computer 5150?,Il 12 agosto 1981.
Qual era il nome in codice del progetto segreto che portò alla creazione del PC IBM 5150?,Project Chess.
Quale innovazione strutturale dell'IBM 5150 permise ad aziende esterne di creare componenti aggiuntivi compatibili?,L'architettura aperta basata su slot di espansione (standard ISA).
"Nella metafora del cantiere edile, cosa rappresenta la CPU?",Il capocantiere che decide cosa fare.
"Nella metafora del cantiere edile, cosa rappresenta la scheda madre?",L'impalcatura che collega ogni reparto.
"Nella metafora del cantiere edile, cosa rappresenta la RAM?",L'area di lavoro dove si tengono gli attrezzi in uso.
"Nella metafora del cantiere edile, cosa rappresenta il magazzino dei materiali?",Le memorie di massa.
"Quale componente è considerato il vero e proprio ""cervello"" del computer?",La CPU (Central Processing Unit).
Qual è la sequenza logica standard che avviene ogni volta che viene impartito un comando al computer?,Input $\rightarrow$ Elaborazione (CPU) $\rightarrow$ Output.
Perché si verifica un rallentamento del computer quando arrivano troppe richieste simultanee alla CPU?,Perché il flusso di richieste supera la capacità istantanea di gestione della CPU.
"In che anno l'azienda Intel mise in commercio il primo microprocessore commerciale, l'Intel 4004?",Nel novembre 1971.
Quanti transistor erano contenuti all'interno del chip dell'Intel 4004?,2.300 transistor.
Quale ingegnere italiano faceva parte del team di sviluppo dell'Intel 4004?,Federico Faggin.
Per quale tipo di dispositivo fu originariamente progettato l'Intel 4004?,Una calcolatrice da tavolo dell'azienda Busicom.
"Nella metafora del vigile urbano, cosa rappresenta il traffico stradale?","Le richieste provenienti da tastiera, mouse e programmi."
Definizione di CPU multicore.,Processore contenente più unità di elaborazione (core) capaci di lavorare in parallelo.
Qual è il vantaggio principale di una CPU multicore rispetto a una single-core nel multitasking?,Permette di eseguire più operazioni realmente nello stesso istante senza dover saltare da un compito all'altro.
