Che cos'è il completamento automatico del browser?;La funzione con cui il browser suggerisce e inserisce dati già digitati in passato per velocizzare la compilazione di moduli e accessi
Perché è importante cancellare i dati privati su un dispositivo condiviso?;Perché chiunque usi quel dispositivo potrebbe ritrovare suggerimenti con nomi indirizzi o credenziali salvate da un altro utente
Quali dati vengono eliminati cancellando i dati privati del browser?;Cronologia di navigazione cookie e password salvate
Cosa richiede una transazione sicura online?;Una connessione cifrata HTTPS e un sito la cui identità sia verificabile tramite un certificato di sicurezza
Che cos'è il pharming?;Una tecnica che reindirizza l'utente verso un sito falso anche quando digita correttamente l'indirizzo del sito reale
Come si può verificare l'identità reale di un sito web?;Consultando il certificato di sicurezza cliccando sul lucchetto nella barra degli indirizzi
Qual è la differenza principale tra phishing e pharming?;Il phishing richiede che la vittima clicchi un link ingannevole mentre il pharming dirotta la richiesta anche se l'indirizzo viene digitato correttamente
Cosa fa la cifratura della posta elettronica?;Rende leggibile il contenuto di un messaggio solo a chi possiede la chiave corretta per decodificarlo
A cosa serve la firma digitale in un'email?;A garantire l'identità del mittente e l'integrità del messaggio con lo stesso valore di una firma autografa
Che cos'è lo spam?;L'invio massivo e non richiesto di messaggi spesso a scopo pubblicitario o fraudolento
Su cosa si basa la firma digitale?;Su un sistema di due chiavi crittografiche collegate una privata nota solo a chi firma e una pubblica usata per verificare la firma
Da dove nasce il termine spam?;Da uno sketch comico britannico dei Monty Python in cui la parola veniva ripetuta continuamente soffocando la conversazione
Cosa riguarda la sicurezza sulle reti sociali?;Cosa si sceglie di condividere pubblicamente come vengono configurate le impostazioni sulla privacy e la consapevolezza dei rischi della condivisione eccessiva
Che cos'è l'oversharing?;Una condivisione eccessiva di informazioni personali sui social network
Che rischio comporta la geolocalizzazione in tempo reale sui social?;Comunica implicitamente anche dove non ci si trova ad esempio la propria abitazione lasciata vuota
Che cos'è il cyberbullismo?;La persecuzione sistematica di qualcuno attraverso mezzi digitali
Cosa significa l'acronimo VoIP?;Voice over IP
A cosa servono le applicazioni VoIP?;A effettuare chiamate vocali e videochiamate attraverso Internet
Che cos'è la crittografia end-to-end?;Un sistema in cui il messaggio viene cifrato sul dispositivo del mittente e decifrato solo su quello del destinatario senza che il servizio possa leggerlo
Quali accorgimenti riducono il rischio di intrusioni in una videochiamata?;Impostare una password specifica per ogni riunione e attivare una sala d'attesa che richieda l'approvazione dell'organizzatore
Che cosa sono le autorizzazioni di un'app?;I permessi che l'utente concede per farla funzionare determinando a quali funzioni e dati del dispositivo può accedere
Perché scaricare app da store non ufficiali aumenta i rischi?;Perché elimina il primo filtro di controllo che gli store ufficiali applicano alle app prima di renderle disponibili
Cosa si può fare in caso di smarrimento o furto di uno smartphone?;Localizzarlo da remoto bloccarlo o cancellarne completamente i dati se le funzioni erano state attivate in anticipo
Quale principio bisogna tenere a mente riguardo alle autorizzazioni richieste da un'app?;La coerenza tra la funzione dichiarata dall'app e il permesso richiesto
