Con quale metafora si può descrivere il ruolo della scheda madre in un computer?;Come l'impalcatura di un cantiere che collega ogni reparto
Con quale metafora si può descrivere il ruolo della CPU secondo la metafora del cantiere?;Come il capocantiere che riceve le richieste e decide cosa fare
Con quale metafora si può descrivere il ruolo della RAM secondo la metafora del cantiere?;Come l'area di lavoro dove vengono tenuti gli attrezzi in uso in quel momento
Con quale metafora si può descrivere il ruolo della ROM secondo la metafora del cantiere?;Come il libretto di istruzioni iniziale che dice da dove cominciare ogni mattina
Con quale metafora si possono descrivere le memorie di massa secondo la metafora del cantiere?;Come il magazzino dove viene conservato il materiale anche quando il cantiere è chiuso
Con quale metafora si possono descrivere i dispositivi di input/output secondo la metafora del cantiere?;Come il cancello d'ingresso e d'uscita da cui passano richieste e risultati
Con quale altra immagine si può descrivere il rapporto tra componenti che sembrano scollegati ma lavorano insieme?;Come guardare sotto il cofano di un'automobile dove motore batteria alternatore e serbatoio insieme fanno muovere l'auto
Quando e dove fu presentato l'IBM Personal Computer 5150?;Il 12 agosto 1981 al Waldorf Astoria di New York
Con quale nome in codice fu sviluppato l'IBM PC 5150?;Project Chess
Cosa rese particolarmente innovativa l'architettura dell'IBM PC 5150?;La sua architettura aperta con cinque slot di espansione pensati per componenti aggiuntivi di aziende esterne
Quale standard di espansione avrebbe poi preso il nome dai cinque slot della scheda madre del PC 5150?;Lo standard ISA
Quale conseguenza ebbe la decisione di IBM di pubblicare la documentazione tecnica del PC 5150?;Diede il via a un intero mercato di componenti e computer compatibili IBM prodotti da altre aziende
Perché il computer rallenta quando arrivano troppe richieste insieme alla CPU?;Perché il flusso di richieste supera la capacità della CPU di gestirle in quell'istante e non per mancanza di competenza
Come gestisce la CPU le richieste che arrivano da più fonti contemporaneamente?;Le ordina e le esegue a grandissima velocità decidendo quale gestire e in che ordine
Con quale metafora si può descrivere il funzionamento della CPU?;Come un vigile urbano al centro di un incrocio che decide chi può passare e chi deve aspettare
In che anno e da quale azienda fu commercializzato il primo microprocessore della storia?;Nel novembre 1971 dall'azienda Intel
Come si chiamava il primo microprocessore commerciale e quanti transistor conteneva?;Intel 4004 con 2300 transistor
In quale formato fisico fu racchiusa la capacità di elaborazione dell'Intel 4004?;In un unico chip di silicio grande pochi millimetri
Chi sviluppò l'Intel 4004?;Gli ingegneri Federico Faggin Ted Hoff e Stanley Mazor insieme al progettista Masatoshi Shima
Per quale scopo fu originariamente sviluppato l'Intel 4004?;Per una calcolatrice da tavolo dell'azienda Busicom
Come venivano gestite le funzioni di un processore prima dell'Intel 4004?;Erano distribuite su interi armadi di circuiti separati ingombranti e costosi
Quale effetto ebbe la nascita del microprocessore sui dispositivi elettronici moderni?;Aprì la strada ai personal computer e a tutti i dispositivi elettronici moderni come smartphone e bancomat
Con quale metafora si può descrivere una CPU multicore rispetto a una CPU con un solo core?;Come più vigili urbani che lavorano insieme nello stesso incrocio invece di uno solo
Perché avere più core non significa sempre avere prestazioni migliori?;Perché se il carico di lavoro è leggero i core aggiuntivi restano inutilizzati e se il coordinamento tra i core è mal gestito si può generare confusione
In quale situazione più core aiutano davvero le prestazioni?;Quando ci sono realmente più operazioni da gestire in parallelo
Quando fu lanciato ufficialmente il primo processore dual-core AMD per il mercato consumer?;Il 31 maggio 2005 con l'Athlon 64 X2
Quale altra azienda lanciò un processore dual-core consumer nello stesso periodo del 2005?;Intel con il Pentium D
Come cambiò la strategia dei produttori di processori dopo l'arrivo dei processori dual-core?;Passarono dal puntare solo sulla velocità di un singolo core a usare più core che lavorano insieme
Perché troppi core possono risultare inutili se il traffico di richieste è scarso?;Perché come troppi vigili in un incrocio poco trafficato possono restare inutilizzati o persino intralciarsi a vicenda
Con quale metafora si può descrivere la differenza tra numero di core e GHz di una CPU?;I core determinano quanti vigili lavorano insieme mentre i GHz determinano quanto velocemente ciascun vigile fa passare le auto
Con quale esempio numerico si può capire la differenza tra una CPU lenta e una veloce?;Un vigile lento fa passare circa venti automobili al minuto mentre uno veloce ne fa passare circa sessanta triplicando il flusso
Chi pubblicò nel 1965 l'osservazione diventata nota come Legge di Moore?;Gordon Moore allora direttore ricerca e sviluppo di Fairchild Semiconductor
Su quale rivista e con quale titolo fu pubblicato l'articolo di Gordon Moore del 1965?;Sulla rivista Electronics con il titolo Cramming More Components onto Integrated Circuits
Cosa osservava originariamente la Legge di Moore e come fu rivista nel 1975?;Un raddoppio dei componenti su un circuito integrato ogni anno rivisto poi in un raddoppio ogni due anni
La Legge di Moore è una legge scientifica in senso stretto?;No è un'osservazione empirica che ha guidato per decenni l'industria dei semiconduttori
Perché il computer non vede mai davvero immagini testi o video così come li vediamo noi?;Perché conserva sempre e soltanto sequenze di byte organizzate secondo regole precise
Perché un messaggio ciao su WhatsApp pesa molto più di 4 byte anche se il testo scritto è lo stesso di un file di testo puro?;Perché porta con sé anche mittente orario di invio stato di consegna e altri dati gestiti dall'app
Chi coniò il termine byte e in che anno?;L'ingegnere Werner Buchholz nel luglio 1956
Per quale progetto lavorava Werner Buchholz quando coniò il termine byte?;Per il supercomputer IBM 7030 Stretch
Perché Buchholz scelse di scrivere byte invece di bite?;Per evitare confusione con la parola bit
Il byte si stabilizzò subito sulla misura di 8 bit?;No si stabilizzò universalmente su questa misura solo negli anni successivi
Con quale metafora si possono descrivere i multipli del byte?;Come le unità di peso della spesa dove i grammi diventano etti poi chili poi quintali e infine tonnellate
