Con quale metafora si può descrivere il funzionamento di una rete?;Come una conversazione tra due persone che devono parlare la stessa lingua e ascoltarsi a turno
Quando e da chi fu inviato il primo messaggio della storia tra due computer collegati in rete?;Il 29 ottobre 1969 da Leonard Kleinrock e Charley Kline dell'UCLA verso lo Stanford Research Institute
Quale fu il primo messaggio mai trasmesso su quella che sarebbe diventata Internet?;La parola lo perché il sistema si bloccò dopo le prime due lettere della parola login
Come si chiamava e da chi era finanziata la rete che collegò il primo messaggio del 1969?;ARPANET finanziata dal Dipartimento della Difesa statunitense
Quanti nodi collegava ARPANET negli Stati Uniti all'epoca del primo messaggio?;Soltanto quattro nodi
Perché una LAN via Wi-Fi è più comoda ma anche più soggetta a problemi rispetto a una via cavo?;Perché è più soggetta a interferenze e variazioni di segnale mentre il cavo è più stabile e veloce
Quale rischio nuovo introduce una MAN rispetto a una piccola LAN?;Se il punto centrale che collega tutte le sedi si guasta l'intera rete ne risente
Con quale metafora si possono descrivere LAN MAN e WAN insieme?;Come cerchi concentrici dove la LAN è il cortile di casa la MAN è il quartiere o la città e la WAN è tutto ciò che sta oltre i confini della città
Chi sviluppò l'Ethernet e in quale laboratorio?;L'ingegnere Robert Metcalfe con David Boggs Butler Lampson e Chuck Thacker presso Xerox PARC
In che anno fu sviluppata l'Ethernet e da quale esigenza concreta nacque?;Nel 1973 dall'esigenza di collegare i computer Xerox Alto e farli comunicare con una nuova stampante laser
Quando fu presentato il primo schema dell'Ethernet e quando entrò in funzione il primo sistema?;Il 22 maggio 1973 il primo schema e l'11 novembre dello stesso anno il primo sistema funzionante
Con quale metafora si può descrivere l'instradamento?;Come il navigatore satellitare di un'automobile che ricalcola il percorso quando incontra un ostacolo
Perché ricaricando due volte la stessa pagina web i tempi di risposta possono variare leggermente?;Perché ogni volta i dati possono percorrere un tragitto diverso anche se partenza e arrivo restano gli stessi
Cosa accadde a Facebook Instagram e WhatsApp il 4 ottobre 2021?;Smisero improvvisamente di funzionare per gli utenti di tutto il mondo restando irraggiungibili per circa sei ore
Quale fu la causa reale del blackout di Facebook del 2021?;Un errore umano durante la manutenzione della rete interna che disconnesse per errore i data center dal resto di Internet
Perché nessun dispositivo riusciva più a raggiungere i server di Facebook durante il blackout del 2021 anche se erano perfettamente funzionanti?;Perché i server che annunciavano come raggiungere quei data center avevano ritirato le proprie indicazioni di instradamento
Cosa dimostra con chiarezza il caso del blackout di Facebook del 2021?;Che su Internet non basta che una destinazione esista deve anche restare raggiungibile attraverso un percorso instradabile
Con quale metafora si può descrivere un indirizzo IP?;Come l'indirizzo completo di un'abitazione fatto di via numero civico e città
Perché router diversi in negozi diversi possono avere indirizzi IP locali molto simili senza generare confusione?;Perché quegli indirizzi valgono solo all'interno della rete locale un po' come due strade con lo stesso nome in città diverse
Cosa significa l'acronimo IANA e cosa fece il 3 febbraio 2011?;Internet Assigned Numbers Authority che quel giorno distribuì gli ultimi blocchi disponibili di indirizzi IPv4
Quanti indirizzi possibili prevede lo standard IPv4?;Poco più di quattro miliardi
Perché lo standard IPv4 risultò insufficiente nel tempo?;Perché il numero di indirizzi disponibili non bastava più di fronte alla crescita di computer smartphone e altri dispositivi connessi
Quale nuovo standard fu adottato dopo l'esaurimento degli indirizzi IPv4?;L'IPv6 capace di fornire un numero di indirizzi enormemente più grande pensato per non esaurirsi mai
Con quale metafora si può descrivere il funzionamento del DNS?;Come la rubrica del telefono che permette di salvare un nome senza doversi ricordare il numero corrispondente
Chi ideò il DNS e in che anno?;Il ricercatore Paul Mockapetris con il collega Jon Postel nel 1983
Come venivano gestiti i nomi dei computer in rete prima dell'invenzione del DNS?;Erano conservati in un unico file di testo centralizzato aggiornato manualmente e distribuito a tutti i partecipanti della rete
Cosa propose Mockapetris al posto del vecchio elenco centralizzato?;Un sistema distribuito e automatico in cui ogni organizzazione potesse gestire autonomamente i propri nomi di dominio
Quali furono alcuni dei primi domini introdotti con il nuovo sistema DNS?;I domini .com .edu .gov e .org
