Chi è Kevin Mitnick?;Un ex cracker arrestato nel 1995 diventato poi consulente di sicurezza informatica ed esperto di hacking etico
Che libro ha scritto Kevin Mitnick sull'ingegneria sociale?;L'arte dell'inganno
Cosa mostra la storia di Kevin Mitnick?;Che le stesse competenze tecniche possono essere usate in modo illecito o legittimo a seconda di come vengono applicate
Cosa accadde al data center OVHcloud di Strasburgo nel marzo 2021?;Un incendio distrusse un edificio e lasciò offline migliaia di clienti in tutto il mondo
Cosa mostra il caso dell'incendio del data center OVHcloud?;Il rischio di affidare i propri dati esclusivamente a un'infrastruttura esterna senza conservarne una copia autonoma
Cosa accadde a Equifax tra maggio e luglio del 2017?;Un attacco informatico sottrasse dati personali di circa 147.9 milioni di cittadini statunitensi sfruttando una falla di sicurezza nota e mai corretta
Cosa mostra il caso Equifax in relazione alla riservatezza?;Un fallimento di riservatezza su scala enorme dove i dati sottratti non dovevano essere utili subito ma semplicemente non più riservati
Nella cartella clinica di un paziente cosa viene violato se una persona non autorizzata la legge senza modificarla?;La riservatezza
Cosa viene compromesso se qualcuno modifica un dato clinico come il gruppo sanguigno senza autorizzazione?;L'integrità
Cosa viene compromesso se i computer di un ospedale smettono di funzionare e il medico non può consultare una cartella clinica?;La disponibilità
Perché la CNIL francese sanzionò Google nel gennaio 2019?;Per non aver fornito agli utenti informazioni sufficientemente chiare sull'uso dei dati per la pubblicità e per aver raccolto il consenso con caselle preselezionate
A quanto ammontò la sanzione GDPR inflitta a Google dalla CNIL nel 2019?;50 milioni di euro
Cosa confermò il Consiglio di Stato francese nel giugno 2020 riguardo alla sanzione a Google?;Confermò sia la sanzione sia la competenza dell'autorità francese
Cosa accadde su Twitter il 15 luglio 2020?;Gli aggressori si spacciarono per il personale informatico interno convincendo alcuni dipendenti a fornire le proprie credenziali e compromettendo account di personaggi famosi
Quale tecnica di ingegneria sociale fu usata nell'attacco a Twitter del 2020?;Il pretexting
Cosa promettevano i messaggi pubblicati dagli account Twitter compromessi nel 2020?;Di restituire il doppio della cifra a chi inviava bitcoin a un indirizzo indicato
Che cos'è Emotet?;Uno dei malware più diffusi e duraturi individuato per la prima volta nel 2014 che si diffonde tramite documenti con macro dannose allegati a email
Come si diffonde principalmente il malware Emotet?;Tramite email che sembrano legittime con allegato un documento contenente una macro dannosa
