Chi introdusse per la prima volta nella storia della matematica a stampa il simbolo uguale?;Il matematico e medico gallese Robert Recorde nel 1557
In quale opera Robert Recorde introdusse il simbolo uguale?;Nel trattato di algebra The Whetstone of Witte
Perché Robert Recorde scelse due segmenti paralleli di uguale lunghezza per rappresentare l'uguaglianza?;Perché nessun'altra coppia di cose può essere più uguale
Il simbolo uguale di Recorde si impose subito come standard?;No per oltre un secolo convissero altre notazioni concorrenti e divenne standard in Europa solo nel Settecento
Nella metafora della parola d'ordine a cosa viene paragonato il segno uguale a inizio formula?;A una parola d'ordine che cambia le regole del gioco facendo passare da una semplice lettura a un calcolo
Cosa scoprì lo Stato dello Utah nell'aprile 2012 nel proprio bilancio per l'istruzione pubblica?;Un errore di 25 milioni di dollari causato da un riferimento errato in un foglio Excel
Chi spiegò pubblicamente la causa dell'errore di bilancio dello Utah del 2012?;Il sovrintendente statale Larry Shumway
Di quante unità fu sottostimato il numero di studenti attesi nell'errore dello Utah?;Circa 8.000 unità
Quali conseguenze ebbe l'errore di bilancio dello Utah del 2012?;Le dimissioni di due alti funzionari e lo stanziamento d'urgenza dei 25 milioni di dollari mancanti
Nella metafora del termostato a cosa viene paragonato un riferimento di cella?;A un termostato collegato a un sensore di temperatura in un'altra stanza che regola automaticamente in base a quel valore
Cosa annunciò alla fine del 1994 il fondo Magellan di Fidelity Investments prima di dover ritrattare?;Una distribuzione agli azionisti di 4.32 dollari per azione
Quale errore commise un contabile interno di Fidelity nel trasferire un dato tra fogli di calcolo?;Omise il segno meno davanti a una perdita di 1.3 miliardi di dollari trasformandola in un guadagno
Di quanto si scostò la stima finale della distribuzione agli azionisti nel caso Fidelity Magellan?;Di circa 2.6 miliardi di dollari rispetto al valore corretto
Nella metafora dell'itinerario a cosa viene paragonato l'ordine delle operazioni in una formula?;Alle indicazioni di un percorso dove lo stesso identico insieme di istruzioni lette in ordine diverso porta a una destinazione diversa
Quando comparve per la prima volta il pulsante Somma automatica in Excel?;Nel 1990 con il lancio di Excel 3.0
Quale altra novità introdusse Excel 3.0 oltre al pulsante Somma automatica?;Una barra degli strumenti vera e propria con icone cliccabili la prima di questo tipo in un programma
Quale simbolo compare sul pulsante Somma automatica fin dal lancio di Excel 3.0?;Il simbolo Sigma la lettera greca usata in matematica per indicare una sommatoria
Nella metafora del timbro a cosa viene paragonata una funzione di Excel?;A un timbro già pronto in un ufficio che applica un intero risultato con un solo gesto
Cosa fece nel 1869 il chimico russo Dmitrij Mendeleev con i 63 elementi chimici allora conosciuti?;Li organizzò in una tabella a righe e colonne ordinandoli per peso atomico e raggruppandoli per proprietà simili
Cosa fece Mendeleev con le caselle vuote della propria tabella degli elementi?;Previde le proprietà esatte di elementi non ancora osservati chiamandoli provvisoriamente eka-alluminio eka-boro ed eka-silicio
Quali elementi furono effettivamente scoperti tra il 1875 e il 1886 confermando le previsioni di Mendeleev?;Il gallio lo scandio e il germanio
Nella metafora della sarta a cosa viene paragonata la maniglia di riempimento?;A una sarta che continua a cucire un motivo a righe su una stoffa proseguendo lo schema senza bisogno di istruzioni ulteriori
Cosa avvenne nel luglio 1944 a Bretton Woods?;Delegati di 44 paesi si riunirono per costruire un nuovo sistema monetario internazionale del dopoguerra
A quale valore assoluto fu fissato il dollaro statunitense nell'accordo di Bretton Woods?;35 dollari per oncia d'oro
Come si comportavano le altre valute rispetto al dollaro nel sistema di Bretton Woods?;Erano agganciate al dollaro con un valore relativo aggiustabile entro margini limitati
Cosa fece il presidente statunitense Richard Nixon nell'agosto 1971 riguardo al sistema di Bretton Woods?;Sospese unilateralmente la convertibilità del dollaro in oro facendo collassare il sistema
Nella metafora della stella polare a cosa viene paragonato un riferimento assoluto?;Alla stella polare per un marinaio che resta sempre nello stesso punto del cielo come riferimento fisso
