Da quale ambito derivano storicamente i termini orizzontale e verticale usati per l'orientamento di una pagina?;Dalla pittura dove si usavano i termini ritratto e paesaggio
Perché un dipinto pensato per ritrarre una persona veniva chiamato ritratto o portrait?;Perché veniva realizzato su una tela più alta che larga per contenere per intero la figura
Perché un dipinto che rappresentava un paesaggio veniva chiamato landscape?;Perché si sviluppava naturalmente in larghezza più che in altezza
Quando entrò nell'uso pittorico europeo il termine landscape secondo gli storici dell'arte?;Agli inizi del Cinquecento diffondendosi in particolare nei Paesi Bassi
Nella metafora del vassoio a cosa viene paragonato cambiare l'orientamento di una pagina?;A girare di lato un vassoio troppo largo per passare da una porta stretta senza che il contenuto cambi
Cosa misero a punto verso il 1282 i mastri cartai di Fabriano?;La filigrana un disegno impresso nella pasta di carta ancora umida visibile solo controluce
A cosa serviva inizialmente la filigrana dei cartai di Fabriano?;A indicare quale bottega avesse prodotto quel foglio di carta
Per cosa cominciò a essere usata la filigrana con la diffusione della stampa nel Quattrocento?;Per autenticare documenti ufficiali e secoli più tardi anche le banconote
Nella metafora dell'etichetta a cosa vengono paragonati intestazione e piè di pagina?;All'etichetta cucita dentro un capo di vestiario che dice a chi appartiene e da dove viene
Cosa utilizzavano dagli anni Sessanta le grandi stampanti a modulo continuo dei centri di calcolo?;Una carta continua a righe alternate verdi e bianche nota come carta a barre verdi
A cosa servivano le righe colorate della carta a barre verdi?;A guidare l'occhio di chi doveva leggere una riga di numeri senza saltare per errore su quella sopra o sotto
Quanto potevano essere larghe le pagine stampate sulle stampanti a modulo continuo dei centri di calcolo?;Fino a 132 colonne di caratteri
Nella metafora della cornice fotografica a cosa viene paragonata l'area di stampa?;Alla cornice di una fotografia dove la scena reale è sempre più ampia di quanto la cornice mostrerà
Quando e dove fu presentata la Xerox 914?;Il 16 settembre 1959 a New York dall'azienda Haloid Xerox
Chi inventò il processo della xerografia alla base della Xerox 914?;Chester Carlson
Cosa rappresentò la Xerox 914 nella storia della riproduzione dei documenti?;La prima fotocopiatrice a carta comune capace di funzionare in un ufficio qualunque
Come si riproducevano parti di documenti prima della Xerox 914?;Ricopiandole a mano o affidandosi alla carta carbone
Nella metafora della valigia a cosa viene paragonata la scelta di cosa stampare in Excel?;A decidere cosa mettere in valigia per un viaggio tra l'essenziale l'intero guardaroba o tutto l'armadio
