In che anno Larry Tesler entrò a far parte dello Xerox PARC?;Nel 1973
Con chi Tesler sviluppò l'editor di testo Gypsy?;Con il collega Tim Mott
Tra quali anni l'editor Gypsy introdusse per la prima volta i comandi taglia copia e incolla?;Tra il 1974 e il 1976
Perché Tesler ideò i comandi taglia copia e incolla?;Perché riteneva i programmi dell'epoca basati su modalità diverse troppo complessi per chi non era un tecnico
Dopo Xerox a quale azienda passò Larry Tesler?;Ad Apple
A cosa vengono paragonati gli appunti nella metafora del magazzino?;Alla mano di Marco quando sposta un pezzo di ricambio da uno scaffale all'altro
Da quale opera latina derivano le parole del Lorem Ipsum?;Dal De finibus bonorum et malorum
Chi scrisse l'opera da cui deriva il Lorem Ipsum?;L'oratore romano Marco Tullio Cicerone
In che anno fu scritta l'opera da cui deriva il Lorem Ipsum?;Nel 45 a.C.
Chi ha ricostruito la storia della diffusione del Lorem Ipsum?;Lo studioso Richard McClintock
Perché i tipografi usavano il Lorem Ipsum come testo riempitivo?;Perché il suo aspetto assomiglia a un testo vero senza distrarre chi guarda l'impaginazione
Quale azienda stampò il Lorem Ipsum sui fogli di caratteri trasferibili negli anni Sessanta?;La Letraset
Quale software degli anni Ottanta inserì il Lorem Ipsum nei propri modelli predefiniti?;PageMaker della Aldus Corporation
A cosa viene paragonato lo zoom nella metafora della televisione?;Alla manopola del volume di una vecchia televisione che cambia solo quanto forte arriva l'immagine
Qual è il formato di carta più diffuso in Europa su cui sono calibrati i margini di Word?;Il formato A4 210 per 297 millimetri
Da quale norma tedesca nasce il formato A4?;Dalla norma DIN 476
In che anno fu adottata la norma DIN 476?;Nel 1922
In che anno il formato A4 divenne standard internazionale con la sigla ISO 216?;Nel 1975
Qual è il rapporto tra i lati di ogni formato della serie A?;Un rapporto di 1 a radice di 2
A cosa vengono paragonati i margini nella metafora del tappeto?;Ai bordi di un tappeto che definiscono lo spazio in cui sistemare i mobili
In che anno avvenne l'episodio della cancellazione dei file di Toy Story 2 negli studi Pixar?;Nel 1998
Circa quale percentuale del lavoro di un anno fu cancellata per errore durante la lavorazione di Toy Story 2?;Circa il 90%
Grazie a chi fu recuperato il materiale perduto di Toy Story 2?;Grazie a una copia personale di Galyn Susman supervisore tecnico della produzione
Perché Galyn Susman aveva una copia personale del progetto sul proprio computer di casa?;Perché lavorava spesso da remoto essendo appena diventata madre
Perché i backup di routine di Pixar non funzionarono durante l'incidente di Toy Story 2?;Perché non funzionavano correttamente da settimane senza che nessuno se ne fosse accorto
A cosa viene paragonato un documento non salvato nella metafora del castello di sabbia?;A un castello di sabbia costruito sul bagnasciuga che un'onda può cancellare
Fino a quale anno Word salvava i file in formato binario .doc?;Fino al 2007
Con quale versione di Office fu introdotto il formato .docx?;Con Office 2007
Su quale linguaggio è basato il formato .docx?;Sul linguaggio XML
Cos'è in realtà un file .docx se aperto con gli strumenti giusti?;Un piccolo archivio compresso contenente diversi file di testo strutturato
In che anno il formato .docx divenne standard internazionale ISO?;Nel 2008
A quale concorrenza rispose Microsoft introducendo il formato .docx?;Alla concorrenza di formati aperti come l'OpenDocument
A cosa viene paragonato un documento salvato in una cartella dimenticata?;A una lettera imbucata nella cassetta della posta sbagliata
Cosa scopre Marco confrontando i margini Normali e Stretti sullo stesso testo?;Che il testo non cambia ma la sua disposizione sulla pagina si ridistribuisce visibilmente
Cosa rischiano di fare le tabulazioni se i margini sono gestiti male?;Spostarsi in modo imprevedibile perché si misurano a partire dal margine
