Con quali tecniche è stata utilizzata l'AI tradizionale per il riconoscimento delle immagini?;Machine learning e reti neurali
Da cosa deriva il cambiamento avvenuto con l'AI generativa secondo il modulo?;Non dalla nascita dell'AI ma dalla sua progressiva evoluzione e democratizzazione
A cosa viene paragonato un sistema che analizza dati nella metafora della biblioteca?;A un sistema che aiuta il bibliotecario a trovare il libro più adatto a una richiesta
A cosa viene paragonato un sistema generativo nella metafora della biblioteca?;A un sistema che riceve una richiesta e produce una nuova pagina di testo
Cosa può fare un'app di navigazione utilizzando l'AI tradizionale?;Analizzare posizione rete stradale e condizioni del traffico per suggerire un percorso
Cosa permettono i sistemi di raccomandazione utilizzati da piattaforme di streaming e social network?;Proporre contenuti o prodotti sulla base di segnali e interazioni dell'utente
Cosa comporta per l'esperienza digitale l'uso di sistemi di raccomandazione?;Che ciò che una persona vede sullo schermo non è necessariamente identico a ciò che vede un'altra persona
A cosa viene paragonata l'AI nella metafora della città?;Al sistema che regola il traffico ottimizza un servizio o suggerisce quale strada prendere invece di un grande edificio con l'insegna intelligenza artificiale
Qual è la domanda corretta da porsi secondo il modulo invece di chiedersi se c'è un computer?;Quale tipo di elaborazione sta svolgendo il sistema e quale ruolo ha l'AI
Cosa accadde nel 2023 negli Stati Uniti riguardo a un caso di AI generativa?;Due avvocati furono sanzionati dopo aver presentato in tribunale citazioni di sentenze inesistenti generate da ChatGPT
Perché il caso dei due avvocati sanzionati nel 2023 divenne noto?;Perché mostrò che un sistema generativo può produrre contenuti dall'aspetto autorevole ma privi di fondamento reale
In quali situazioni le informazioni prodotte dall'AI devono essere sottoposte a verifica secondo il modulo?;Quando sono in gioco studio lavoro salute denaro o decisioni importanti
A cosa viene paragonata l'AI nella metafora della calcolatrice sofisticata?;A una calcolatrice che aiuta a svolgere un calcolo ma non può decidere se i numeri inseriti sono corretti
Cosa non deve diventare l'AI secondo la metafora della calcolatrice?;Il nostro giudice esperto o decisore finale al posto della persona che la utilizza
Cosa fa un utente prudente dopo aver ricevuto una risposta chiara e ben organizzata dall'AI su un argomento di studio?;Controlla le informazioni attraverso il libro di testo e altre fonti affidabili
Quale tecnologia entra in gioco quando si sblocca uno smartphone con il riconoscimento facciale?;Una tecnologia capace di analizzare caratteristiche del volto
Su cosa si basano i suggerimenti musicali personalizzati di una piattaforma?;Su informazioni relative alle interazioni dell'utente
