Con quale metafora si possono descrivere le memorie di massa?;Come un magazzino con le luci spente dove tutto resta al proprio posto anche senza corrente
Quale fu il primo hard disk della storia e in che anno fu introdotto?;Il modello 350 di IBM introdotto nel giugno 1956 parte del sistema IBM 305 RAMAC
Quali erano le caratteristiche fisiche del primo hard disk IBM 350?;Cinquanta dischi magnetici da 24 pollici un peso di circa una tonnellata e una capacità tra circa 3 e 5 megabyte
A quanto veniva offerto in affitto il primo hard disk IBM e quale problema risolveva?;Circa 3200 dollari al mese e sostituiva i lenti archivi di schede perforate
Con quale metafora si può descrivere il funzionamento di un HDD?;Come un giradischi il cui braccio deve spostarsi fisicamente per trovare il solco giusto sul vinile
Quale fu il primo hard disk pensato specificamente per i personal computer e in che anno?;L'ST-506 nel 1980
Quale azienda presentò l'ST-506 e come si sarebbe poi chiamata quella stessa azienda?;Shugart Technology che sarebbe diventata Seagate Technology
Quale fu la capacità e il prezzo di lancio dell'ST-506?;5 megabyte di capacità e circa 1500 dollari di prezzo
Perché l'ST-506 fu importante per la storia dei personal computer?;Fu il primo hard disk abbastanza compatto da entrare fisicamente dentro un computer da scrivania
Con quale metafora si può descrivere la velocità di un SSD rispetto a un HDD?;Come rispondere a una domanda di cui si conosce già la risposta a memoria senza nessuna ricerca
Chi sviluppò la memoria flash e in quale azienda lavorava?;L'ingegnere giapponese Fujio Masuoka che lavorava come ricercatore presso Toshiba
Da dove derivò il nome flash per questa tecnologia?;Un collega di Masuoka la battezzò così come il lampo di una macchina fotografica
In quali anni Masuoka presentò le due varianti della memoria flash?;Nel 1984 la variante NOR e nel 1987 la variante NAND
Quale variante di memoria flash è oggi la più diffusa negli SSD?;La variante NAND
Quale accoglienza ricevette inizialmente il progetto di Masuoka in azienda?;Un interesse scarso al punto che gli fu chiesto di abbandonare il progetto
Con quale metafora si può descrivere la RAM?;Come una scrivania dove più fogli e strumenti si tengono aperti più velocemente si passa dall'uno all'altro
Chi ebbe l'intuizione alla base della moderna RAM e in che anno?;L'ingegnere Robert Dennard che lavorava per IBM nel 1966
Qual era l'intuizione di Robert Dennard per conservare un bit di informazione?;Usare un solo transistor abbinato a un piccolo condensatore invece dei sei transistor usati allora
Come si chiama il brevetto ottenuto da IBM nel 1968 basato sull'idea di Dennard?;DRAM cioè Dynamic Random Access Memory
Quanta RAM è considerata una dotazione di base per un uso molto semplice?;4 GB
Quanta RAM permette un uso normale con qualche programma aperto insieme?;8 GB
Quanta RAM garantisce un lavoro fluido anche con applicazioni impegnative?;16 GB
Quanta RAM è pensata per un multitasking intenso come l'editing video?;32 GB o più
Con quale metafora si può descrivere la ROM rispetto alla RAM e alla CPU?;Come la prima pagina di un copione teatrale che dice agli attori dove e come iniziare la scena
Cosa accadde il 26 aprile 1999 a causa del virus CIH?;Centinaia di migliaia di computer nel mondo smisero improvvisamente di funzionare
Chi creò il virus CIH e perché era anche noto come Chernobyl?;Lo studente universitario taiwanese Chen Ing-hau e il nome derivava dalla coincidenza con l'anniversario del disastro nucleare del 1986
Perché il danno causato dal virus CIH su alcune schede madri era irreversibile solo con strumenti software?;Perché il virus poteva sovrascrivere il contenuto della ROM o BIOS rendendo necessario l'intervento fisico di un tecnico
Cosa dimostrò concretamente il caso del virus CIH sull'importanza della ROM?;Che senza quel piccolo insieme di istruzioni permanenti nessun computer è in grado nemmeno di iniziare a funzionare
Qual è la sequenza completa di avvio di un computer dall'accensione al pieno utilizzo?;Si attiva la ROM che sveglia la CPU la CPU cerca il sistema operativo sulla memoria di massa e infine il sistema operativo viene caricato nella RAM
Perché l'avvio è più rapido su un computer con SSD rispetto a uno con HDD?;Perché con l'SSD la ricerca del sistema operativo è quasi istantanea mentre con l'HDD la testina deve raggiungere fisicamente il punto in cui è scritto
Con quale metafora teatrale si può descrivere l'intera sequenza di avvio del sistema?;Come l'apertura di un teatro dove prima si accendono le luci di servizio poi il regista recupera il copione e infine gli attori prendono posizione sul palco
Chi depositò nel 1999 un brevetto per un dispositivo di archiviazione USB chiamato DiskOnKey?;L'azienda israeliana M-Systems guidata dall'ingegnere Dov Moran
Quale altra azienda sviluppava indipendentemente un dispositivo simile al DiskOnKey e come lo chiamò?;L'azienda singaporiana Trek Technology che lo chiamò ThumbDrive
Quali due aziende misero in vendita i primi dispositivi USB sul mercato nel 2000?;IBM e Trek Technology
Perché la storia dell'invenzione della chiavetta USB è considerata controversa?;Perché diverse aziende ne rivendicano ancora oggi la paternità e negli anni si sono susseguite diverse cause legali
