Nella metafora del pagamento digitale come consegna lungo una strada cosa deve essere protetto?;Ogni tratto del percorso affinché il contenuto arrivi sicuro alla destinazione
Nell'esempio quotidiano di un acquisto online con conferma tramite app bancaria cosa riceve l'utente dopo il pagamento?;Una notifica sullo smartphone mentre il negozio riceve la conferma dell'ordine senza uso di denaro fisico
Cosa accadde a Colonial Pipeline nel 2021 secondo questo modulo?;Un attacco informatico portò alla sospensione temporanea delle operazioni mostrando come un attacco digitale possa avere conseguenze concrete sull'economia
Cosa accadde durante le proteste dei camionisti in Canada nel 2022 in relazione ai pagamenti digitali?;Alcune autorità intervennero bloccando l'accesso a determinati fondi e strumenti finanziari collegati ai partecipanti aprendo un dibattito su sicurezza e dipendenza dai sistemi digitali
Nella metafora della rete autostradale applicata ai pagamenti digitali cosa rappresentano banche e circuiti?;I caselli e i sistemi di sicurezza che verificano che il viaggio del denaro avvenga nel modo corretto
Nello scenario del POS che non funziona per mancanza di connessione cosa dimostra questo episodio?;Che il denaro digitale dipende da una complessa infrastruttura di reti dispositivi e servizi che devono funzionare correttamente
Nell'esempio del messaggio ricevuto da un utente che sembra provenire dalla propria banca e chiede numero della carta e codice di sicurezza cosa dovrebbe insospettire?;Il fatto che venga richiesto di inserire dati sensibili su un sito che imita quello ufficiale per verificare un presunto problema
Perché tenere la carta in mano mentre si aspetta il proprio turno alla cassa può rappresentare un rischio?;Perché una persona vicina potrebbe osservare il numero della carta la data di scadenza o registrare questi dati con lo smartphone
Cosa accadde a Target Corporation nel 2013?;Una violazione informatica portò al furto di dati relativi a milioni di carte di pagamento dei clienti
In un esempio tratto da una serie televisiva citato nel modulo cosa fa un personaggio con una carta di credito trovata in un'abitazione?;Fotografa il fronte e il retro della carta per ottenere informazioni utili a utilizzarla fraudolentemente
Nella metafora della carta di pagamento come chiave di casa cosa equivale a lasciare la porta aperta?;Lasciare la carta incustodita fotografarla o consegnarla a qualcuno che non si conosce
Nell'esempio quotidiano del pagamento contactless al supermercato cosa succede quando la carta viene avvicinata al terminale?;Il pagamento viene autorizzato in pochi secondi senza inserire la carta nel lettore e l'utente riceve una notifica
Cosa evidenziarono alcuni ricercatori di sicurezza nel 2019 riguardo ai sistemi di pagamento contactless?;Vulnerabilità che potevano consentire in determinate condizioni la manipolazione delle comunicazioni tra carta e terminale
Nella metafora della porta automatica con sistema di riconoscimento applicata al contactless cosa determina l'apertura?;Non il semplice passaggio davanti al lettore ma la verifica di un segnale preciso e autorizzato dal sistema
Nell'esempio quotidiano del pagamento tramite smartphone al negozio cosa autorizza il pagamento?;Il riconoscimento dell'impronta digitale senza che la carta collegata al telefono venga mostrata o utilizzata direttamente
Nella metafora dello smartphone come cassaforte digitale cosa rende sicura la cassaforte?;Non solo il fatto di essere resistente ma il fatto di richiedere diversi controlli prima di aprirsi
Nell'esempio quotidiano del messaggio SMS che invita a cliccare un link per verificare un pagamento sospetto come si accorge l'utente della truffa?;Nota che il sito ha un indirizzo insolito e verifica direttamente tramite l'app ufficiale della banca scoprendo che non c'era nessun problema
Cosa accadde ai clienti di una banca italiana nel 2022 secondo il caso reale citato?;Furono coinvolti in campagne di phishing che imitavano comunicazioni bancarie ufficiali per sottrarre credenziali e dati personali
Nella metafora del falso negozio applicata alle truffe online cosa nasconde una vetrina curata e un personale gentile?;Che dietro la facciata non c'è un vero negozio e l'obiettivo è convincere la vittima a consegnare denaro o informazioni
Nell'esempio quotidiano del prelievo da uno sportello bancomat modificato durante un viaggio come si accorge l'utente del problema?;Controllando il conto dopo alcuni giorni e notando movimenti mai effettuati grazie alle notifiche bancarie
Cosa accadde a Home Depot nel 2014?;Una violazione informatica portò alla sottrazione di dati relativi a milioni di carte di pagamento dei clienti
Nella metafora della tessera per entrare in un edificio applicata alla clonazione della carta cosa non deve necessariamente fare un ladro?;Rubare la tessera originale perché copiandone le informazioni può creare un duplicato o trovare un altro modo per superare il controllo
Nell'esempio quotidiano della conferma di un acquisto online con impronta digitale cosa succede se manca questa verifica aggiuntiva?;Il pagamento non viene autorizzato nonostante i dati della carta siano già stati inseriti
Cosa accadde a diversi clienti bancari europei nel 2023 secondo il caso reale citato?;Furono bersaglio di campagne di phishing che cercavano di convincerli a fornire codici di autenticazione temporanei ricevuti tramite SMS o app bancarie
Nella metafora della cassaforte con più serrature applicata all'autenticazione forte perché il tentativo di accesso diventa più difficile?;Perché servono contemporaneamente una chiave un codice e il riconoscimento del proprietario e non basta copiare una sola chiave
