Perché costruire un'identità digitale consapevole richiede di riflettere prima di pubblicare?;Perché il mondo online e quello reale non sono separati e fanno parte della stessa vita
Cosa può succedere a un candidato se vengono trovati online contenuti pubblici offensivi o poco professionali?;Può essere escluso dai processi di selezione lavorativa
Cosa dimostra il fatto che molte aziende consultino le informazioni pubbliche dei candidati prima di una selezione?;Che ciò che viene pubblicato online può avere conseguenze concrete anche dopo molti anni
A cosa viene paragonata l'identità digitale nella metafora del passaporto?;A un documento che si aggiorna continuamente con ogni nuova attività online
Come può un'attività online positiva influenzare l'impressione che altri si fanno di una persona ancora prima di incontrarla?;Fotografie commenti educati e partecipazione ad attività possono trasmettere un'immagine positiva della persona
Perché le tracce digitali raccolte nel tempo possono risultare significative anche se singolarmente sembrano poco importanti?;Perché insieme possono descrivere con precisione abitudini interessi e comportamenti di una persona
Perché dopo aver cercato informazioni su un prodotto online capita di vedere pubblicità relative a quel prodotto nei giorni successivi?;Perché le tracce lasciate durante la navigazione vengono usate per mostrare annunci coerenti con gli interessi
Cosa evidenziò il caso Cambridge Analytica del 2018?;Che l'analisi delle tracce digitali può rivelare preferenze e comportamenti sollevando questioni sulla privacy
Quali dati furono utilizzati nel caso Cambridge Analytica?;Dati personali di milioni di utenti Facebook usati per creare profili elettorali dettagliati
A cosa vengono paragonate le tracce digitali nella metafora delle impronte sulla neve?;Alle impronte che continuano a raccontare dove una persona è passata anche dopo il suo passaggio
Un contenuto pubblicato da un'altra persona può influenzare la nostra reputazione online?;Sì anche una foto in cui siamo taggati o una recensione scritta da altri può influenzarla
Perché eliminare un contenuto da Internet non garantisce che scompaia del tutto?;Perché potrebbe essere già stato copiato condiviso o archiviato da altri utenti
Cosa dimostrano i casi in cui offerte di lavoro sono state ritirate dopo la scoperta di vecchi post offensivi?;Che la reputazione online può influenzare opportunità di studio lavoro e relazioni anche molti anni dopo
A cosa viene paragonata la reputazione online nella metafora della vetrina di un negozio?;Alla prima impressione che un negozio trasmette invitando a scoprire di più prima ancora di entrare
Come è possibile dedurre le abitudini di una persona anche se questa non ha mai condiviso la propria posizione esatta?;Osservando luoghi riconoscibili e orari nelle foto pubblicate regolarmente si possono ricostruire percorsi abituali
Cosa dimostra la possibilità di dedurre abitudini da informazioni apparentemente innocue?;Che la privacy riguarda anche ciò che gli altri possono dedurre e non solo ciò che dichiariamo direttamente
Cosa emerse nel 2018 riguardo alla mappa pubblicata dall'applicazione Strava?;Che analizzando i percorsi condivisi si poteva individuare la posizione di basi militari nel mondo
Cosa dimostrò il caso Strava sui dati aggregati?;Che anche dati apparentemente innocui se aggregati possono rivelare informazioni molto delicate
A cosa viene paragonata la privacy online nella metafora delle tende di una casa?;Alle tende che permettono di decidere quando aprirle e chi far entrare nella propria vita privata
Tra quali due esigenze cerca un equilibrio il diritto all'oblio?;Tra la protezione dei dati personali della persona e il diritto del pubblico all'informazione
Qual è la differenza tra la deindicizzazione e la cancellazione di un contenuto?;La deindicizzazione rimuove il contenuto dai risultati di ricerca legati al nome senza eliminarlo dall'archivio originale
Cosa stabilì la sentenza Google Spain del 2014?;Che una persona può chiedere a un motore di ricerca di rimuovere risultati collegati al proprio nome non più pertinenti
Da quale vicenda nacque la causa che portò alla sentenza Google Spain?;Dalla richiesta di un cittadino spagnolo relativa alla vendita all'asta di un immobile per debiti previdenziali
A cosa viene paragonato il diritto all'oblio nella metafora della fotografia in archivio?;A una vecchia fotografia che può restare in archivio senza dover essere esposta ogni giorno in vetrina
Perché è importante distinguere tra ciò che controlliamo direttamente online e ciò che può comparire indipendentemente dalla nostra volontà?;Perché la presenza digitale comprende anche contenuti pubblicati da altre persone o generati dai servizi utilizzati
Cosa emerse dai dati pubblicati da Google nel 2024 sulle richieste di rimozione dai risultati di ricerca?;Che dal 2014 Google ha ricevuto milioni di richieste riguardanti decine di milioni di URL
Cosa dimostra l'elevato numero di richieste di rimozione ricevute da Google dal 2014?;Quanto sia estesa la quantità di informazioni che può contribuire alla presenza digitale di una persona
A cosa viene paragonata la presenza digitale nella metafora della città?;A una città dove la casa rappresenta ciò che condividiamo direttamente e le strade i collegamenti tra gli account
Di cosa si occupò la Corte di giustizia dell'Unione europea nel caso Glawischnig-Piesczek contro Facebook Ireland del 2019?;Della possibilità di ordinare a una piattaforma di rimuovere determinati contenuti illeciti
Cosa dimostra il caso Glawischnig-Piesczek riguardo alla responsabilità nell'ambiente digitale?;Che la responsabilità riguarda sia le piattaforme sia gli utenti che pubblicano contenuti
A cosa viene paragonata l'identità consapevole nella metafora della guida di un'automobile?;Al guidare un'auto dove conoscere il funzionamento non basta ma bisogna anche rispettare regole e prevedere pericoli
