Chi ebbe l'idea originale di PowerPoint e a partire da quando cominciò a lavorarci?;Robert Gaskins a partire dal luglio 1984
Presso quale azienda della Silicon Valley nacque il progetto che sarebbe diventato PowerPoint?;Forethought Inc
Chi raggiunse Robert Gaskins nell'ottobre 1984 diventando il principale sviluppatore del programma?;Dennis Austin
Come si chiamava inizialmente il programma prima di essere rinominato PowerPoint?;Presenter
Quando fu messo in vendita PowerPoint per la prima volta e per quale piattaforma?;Il 20 aprile 1987 solo per i computer Apple Macintosh
Per cosa era pensata la primissima versione di PowerPoint del 1987?;Per stampare lucidi in bianco e nero da mostrare con una lavagna luminosa
Quanto incassò PowerPoint nel suo primo mese di vendita?;Circa un milione di dollari con diecimila copie vendute
Per quale cifra Microsoft acquistò l'intera Forethought pochi mesi dopo il lancio di PowerPoint?;Per 14 milioni di dollari in contanti
Nella metafora del leggio a cosa viene paragonato un programma di presentazione?;A un leggio che sta accanto a chi parla mostrando un punto fermo senza sostituire la sua voce
Con l'aiuto di quale università Microsoft avviò nel 1995 un progetto per rendere più amichevole l'interazione con il computer?;L'Università di Stanford
Quale software fallimentare nacque per primo da questo progetto di ricerca di Microsoft?;Microsoft Bob
Chi disegnò il personaggio animato dell'Assistente di Office lanciato con Office 97 nel 1996?;L'illustratore Kevan Atteberry
Come si chiamava ufficialmente e come era conosciuta la graffetta animata dell'Assistente di Office?;Ufficialmente Clippit ma conosciuta da tutti come Clippy
Come fu giudicata Clippy dalla critica tecnica secondo la rivista Time?;Tra le cinquanta peggiori invenzioni della storia
Quando Microsoft annunciò che l'Assistente di Office non sarebbe più stato attivo per impostazione predefinita?;Il 11 aprile 2001
Nella metafora del manuale nel cassetto a cosa viene paragonata una Guida davvero utile?;A un manuale che non interrompe mai chi lavora ma risponde solo quando viene interpellato
Chi ideò il proiettore Carousel lanciato da Eastman Kodak nel 1961?;L'inventore italoamericano Louis Misuraca
Quante diapositive da 35 millimetri poteva contenere il vassoio circolare del Carousel?;Fino a 80 diapositive poi arrivate a 140
Quando si fermò la produzione del proiettore Carousel?;Nel 2004
Cosa accelerò secondo diverse ricostruzioni il passaggio dal Carousel fisico alla sequenza digitale?;L'introduzione delle immagini in PowerPoint nel 1997
Nella metafora del fotografo a cosa viene paragonata la vista sequenza diapositive?;Al tavolo su cui un fotografo dispone le stampe prima di scegliere l'ordine dell'album
Con quale versione di PowerPoint arrivò il primo vero salto in avanti nell'aspetto grafico delle diapositive?;Con PowerPoint 3.0 uscito il 30 agosto 1992
Cosa introdusse per la prima volta PowerPoint 3.0 oltre alla proiezione diretta da computer?;I primi modelli di presentazione antenati diretti dei temi odierni
Nella metafora della divisa sportiva a cosa viene paragonato un tema di PowerPoint?;Alla divisa di una squadra dove ogni diapositiva resta diversa ma tutte condividono gli stessi colori e stile
Chi ebbe l'idea dello storyboard nei primi anni Trenta presso i Walt Disney Studios?;L'animatore Webb Smith
Qual è stato il primo cortometraggio Disney interamente costruito con il metodo dello storyboard?;I tre porcellini uscito il 25 maggio 1933
Quale fu il rapporto tra budget e incasso del cortometraggio I tre porcellini?;Un budget di 22.000 dollari trasformato in un incasso di 250.000 dollari
Quale reparto creò Disney per dedicarsi esclusivamente al metodo dello storyboard?;Il Story Department
Nella metafora dell'album fotografico a cosa viene paragonato riordinare le diapositive nella vista sequenza?;A spostare le fotografie di un album prima di incollarle definitivamente
A chi fu affidato nel 1967 il compito di risolvere il caos della segnaletica della metropolitana di New York?;Ai designer Massimo Vignelli e Bob Noorda dello studio Unimark International
Come si chiamava il manuale pubblicato nel 1970 con le regole della segnaletica della metropolitana di New York?;New York City Transit Authority Graphics Standards Manual
Quante pagine aveva il manuale sulla segnaletica della metropolitana di New York?;182 pagine
Nella metafora dello stampo per biscotti a cosa viene paragonato lo schema diapositiva?;A uno stampo che definisce in anticipo la forma e ogni nuova diapositiva esce già con quella forma
Quando decollò lo Space Shuttle Columbia per la missione STS-107?;Il 16 gennaio 2003
Cosa colpì l'ala sinistra del Columbia durante il lancio?;Un pezzo di schiuma isolante staccatosi durante il decollo
Come presentarono gli ingegneri Boeing la propria analisi del rischio ai dirigenti NASA?;Attraverso una diapositiva PowerPoint fittissima di elenchi puntati annidati abbreviazioni tecniche e caratteri sempre più piccoli
Cosa accadde al Columbia il 1° febbraio 2003?;Si disintegrò durante il rientro in atmosfera uccidendo tutto l'equipaggio
Quale professore di Yale fu citato dalla commissione d'inchiesta per il proprio studio su quella diapositiva?;Edward Tufte
Nella metafora del cartello stradale a cosa viene paragonata una diapositiva efficace?;A un cartello che comunica solo l'informazione essenziale nel momento in cui serve invece di raccontare tutta la storia
