Che cos'è un dato?;Un elemento grezzo come un numero un nome o una data privo di significato se preso da solo
Che cos'è un'informazione?;Nasce quando più dati vengono organizzati e messi in relazione tra loro acquisendo un senso
Che cos'è la sicurezza informatica o IT Security?;L'insieme delle pratiche e delle tecnologie che proteggono dati informazioni dispositivi e reti da minacce di ogni tipo
Che cos'è un crimine informatico?;Un reato compiuto attraverso strumenti informatici
Che cosa indica in origine il termine hacker?;Una persona con competenze tecniche che esplora e comprende in profondità i sistemi informatici
Chi è un cracker?;Chi utilizza le proprie competenze per violare o aggirare le protezioni di un sistema senza autorizzazione
Chi è un hacker etico?;Chi utilizza competenze tecniche con autorizzazione e finalità di sicurezza per individuare e segnalare vulnerabilità
Qual è la differenza principale tra hacker cracker e hacker etico?;Non sta nella capacità tecnica ma nell'autorizzazione e nello scopo con cui viene usata
Quali sono le due grandi famiglie di minacce ai dati?;Le minacce dolose e le minacce accidentali
Che cos'è una minaccia dolosa?;Una minaccia causata intenzionalmente da qualcuno che vuole danneggiare o sottrarre dati
Che cos'è una minaccia accidentale?;Una minaccia causata da errori umani involontari o da eventi imprevisti senza intenzione malevola
Che cosa sono le circostanze straordinarie nella sicurezza dei dati?;Eventi come incendi allagamenti guasti elettrici calamità naturali o conflitti che possono distruggere dati e dispositivi
Che cos'è il cloud computing?;L'uso di server remoti gestiti da altre aziende per conservare ed elaborare dati che non risiedono più fisicamente presso l'utente
Cosa significa l'acronimo CIA nella sicurezza informatica?;Confidentiality Integrity Availability
Che cos'è la riservatezza nella Triade CIA?;La garanzia che solo chi è autorizzato possa vedere un'informazione
Che cos'è l'integrità nella Triade CIA?;La garanzia che un'informazione sia esattamente quella che dovrebbe essere senza alterazioni non autorizzate
Che cos'è la disponibilità nella Triade CIA?;La garanzia che chi ha diritto possa accedere a un'informazione ogni volta che serve
Cosa significa l'acronimo GDPR?;General Data Protection Regulation
Che cos'è il GDPR?;La normativa dell'Unione Europea in vigore dal 25 maggio 2018 che stabilisce come i dati personali devono essere raccolti conservati e utilizzati
Cosa indica il principio di trasparenza nel GDPR?;Chi raccoglie dati personali deve informare chiaramente le persone su cosa raccoglie e per quale motivo
Cosa indica il principio di finalità legittima nel GDPR?;I dati raccolti per uno scopo dichiarato non possono essere riutilizzati liberamente per uno scopo diverso senza un consenso specifico
Cosa indica il principio di proporzionalità nel GDPR?;Si devono raccogliere solo i dati realmente necessari per lo scopo dichiarato
Chi è l'interessato secondo il GDPR?;La persona a cui i dati personali si riferiscono
Chi è il titolare del trattamento secondo il GDPR?;Chi decide come e perché i dati personali vengono raccolti e utilizzati
Quali diritti mantiene l'interessato sui propri dati secondo il GDPR?;Il diritto di conoscerli di correggerli se sbagliati e in molti casi di farli cancellare
Che cos'è l'ingegneria sociale?;La manipolazione psicologica con cui un malintenzionato induce una persona a rivelare informazioni riservate o a compiere un'azione che non dovrebbe
Che cos'è lo shoulder surfing?;Osservare fisicamente qualcuno mentre digita un codice un PIN o una password per poi riutilizzarlo
Che cos'è l'information diving?;Rovistare tra i rifiuti come scontrini bollette e documenti stampati alla ricerca di informazioni sensibili
Che cos'è lo skimming?;Una tecnica in cui un dispositivo nascosto copia i dati della banda magnetica o del chip di una carta senza che il proprietario se ne accorga
Che cos'è il pretexting?;Costruire un pretesto credibile come una falsa identità per guadagnarsi la fiducia della vittima e ottenere l'informazione desiderata
Che cos'è una macro in un documento?;Una piccola sequenza di istruzioni automatizzate incorporata in un documento per eseguire in un solo passaggio operazioni ripetitive
Che cos'è la cifratura di un file?;Un processo che rende il file illeggibile a chiunque non possieda la chiave corretta per decodificarlo
A cosa serve una password sul documento?;A limitare l'apertura del file a chi conosce il codice di accesso
Perché una macro può essere pericolosa?;Perché è un piccolo programma che può essere scritto per scaricare in modo invisibile software indesiderato quando viene abilitata
