Cosa significa inserire un dato in Excel?;Selezionare una cella digitarne il contenuto e confermarlo
Quali tipi di dato può contenere una cella in Excel?;Testo numeri date e percentuali
Una cella Excel può contenere più dati contemporaneamente?;No una cella può contenere un solo dato alla volta
Che differenza c’è tra dato imputazionale e dato relazionale in Excel?;Il dato imputazionale è inserito direttamente dall’utente mentre quello relazionale è calcolato automaticamente da Excel mettendo in relazione due o più celle tramite una formula
Cosa succede premendo INVIO dopo aver scritto in una cella?;La selezione si sposta automaticamente alla cella sottostante
Cosa succede premendo TAB dopo aver scritto in una cella?;La selezione si sposta a destra
Quali strumenti permettono di annullare l'ultima azione in Excel?;La scorciatoia CTRL+Z e il tasto Ripristina nella barra di accesso rapido
Come si corregge il contenuto di una cella già confermato?;Selezionando di nuovo la cella e digitando un nuovo contenuto che sostituisce quello precedente
Cosa fa il tasto CANC su una cella selezionata?;Svuota completamente la cella
Cosa fa la scorciatoia CTRL+Z in Excel?;Annulla l'ultima azione compiuta riportando indietro la modifica
Come tratta Excel automaticamente il testo e i numeri inseriti in una cella?;Li riconosce automaticamente e li allinea in modo diverso all'interno della cella
Cos'è il riempimento automatico in Excel?;La funzione con cui Excel riconosce lo schema di valori già scritti e lo prosegue da solo nelle celle successive
Cos'è la maniglia di riempimento?;Il piccolo quadratino visibile nell'angolo in basso a destra della cella selezionata
Cosa fa Excel se si trascina la maniglia dopo aver scritto un solo valore?;Per default ripete lo stesso valore identico in ogni cella
Cosa fa Excel se si scrivono due valori come 1 e 2 e si trascina la maniglia dopo averli selezionati?;Riconosce la differenza costante tra i due valori e la applica alle celle successive
Dove si trova il tasto Ripristina in Excel?;Nella barra di accesso rapido
Cosa succede digitando un nuovo contenuto in una cella che contiene già un dato?;Il nuovo contenuto sostituisce interamente quello precedente
Quali sequenze riconosce Excel senza bisogno di un secondo valore di riferimento?;I giorni della settimana i mesi dell'anno e le date
Il trascinamento con la maniglia può creare una progressione anche a ritroso?;Sì se Excel riconosce una differenza costante negativa
Cosa succede trascinando una progressione iniziata con 3 e 2?;Excel continua la sequenza con 1 0 −1 e così via
Excel può riconoscere schemi di giorni alternati?;Sì può riconoscere lo schema se vengono inseriti due giorni che mostrano l'intervallo da ripetere
Cosa succede inserendo lunedì e mercoledì e trascinando la maniglia?;Excel continua lo schema con venerdì domenica martedì e così via
Cosa significa muoversi in un foglio Excel?;Spostarsi rapidamente da una cella all'altra senza dover scorrere l'intero contenuto a occhio
Cosa fa la combinazione CTRL+Home in Excel?;Riporta istantaneamente alla cella A1 l'inizio assoluto del foglio
Cosa fa la combinazione CTRL+frecce in Excel?;Salta direttamente al limite di una zona di dati compilata nella direzione della freccia premuta
A cosa serve CTRL+F in Excel?;A cercare un testo o un numero specifico e portare direttamente alla prima cella che lo contiene
In cosa la ricerca di Excel può estendersi rispetto a quella di Word?;Può essere estesa a tutta la cartella di lavoro invece che al solo foglio attivo
Tra cosa può cercare CTRL+F in Excel oltre ai valori mostrati?;Anche tra le formule che generano quei valori
Cosa fa lo zoom in un foglio Excel?;Ingrandisce o rimpicciolisce la vista senza cambiare il contenuto reale del foglio
A cosa serve la funzione Blocca riga superiore in Excel?;A tenere sempre visibile la prima riga con le intestazioni mentre il resto del foglio scorre
Se si seleziona un intervallo prima di scrivere cosa fanno INVIO o TAB?;Muovono il cursore solo dentro quell'intervallo selezionato
Cosa significa selezionare un gruppo di celle in Excel?;Indicare a Excel quale porzione della griglia sarà interessata dal comando successivo
Come si chiama un gruppo di celle selezionate insieme?;Intervallo
Cosa succede cliccando su un'altra cella dopo aver scritto un dato?;Il dato viene confermato e la selezione si sposta sulla nuova cella
Come si scrive un intervallo di celle in Excel?;Con l'indirizzo della prima cella i due punti e l'indirizzo dell'ultima cella
Cosa indica l'intervallo A1:A10?;Tutte le celle della colonna A dalla riga 1 alla riga 10
Cosa indica l'intervallo A1:C10?;Un intero blocco rettangolare di celle dalla cella A1 alla cella C10
Come si selezionano celle non adiacenti in Excel?;Tenendo premuto CTRL e cliccando su ciascuna cella desiderata una alla volta
Cosa succede se un intervallo viene selezionato in modo incompleto?;Excel non genera un errore visibile e lavora solo con le celle effettivamente indicate
Cosa significa gestire i fogli di lavoro in Excel?;Aggiungere rinominare eliminare spostare o copiare i singoli fogli di una cartella di lavoro
Come si aggiunge un nuovo foglio di lavoro in Excel?;Cliccando sull'icona più accanto alle schede esistenti oppure con SHIFT+F11
Come si rinomina un foglio di lavoro in Excel?;Facendo doppio clic sulla sua scheda e digitando il nuovo nome
Cosa bisogna ricordare quando si elimina un foglio di lavoro?;Che l'eliminazione non può essere annullata una volta confermata
Cosa permette di fare il comando Sposta o copia su un foglio di lavoro?;Di scegliere la posizione di destinazione e di lasciare intatto l'originale creandone una copia
Cosa significa salvare una cartella di lavoro in Excel?;Trasferirne il contenuto dalla memoria temporanea del computer a una memoria di massa
Dove si trova una cartella di lavoro non ancora salvata mentre si lavora?;Nella RAM la memoria temporanea del computer
Qual è la differenza tra Salva e Salva con nome in Excel?;Salva aggiorna il file esistente mentre Salva con nome ne crea uno nuovo lasciando intatto l'originale
Qual è il formato standard con cui Excel salva oggi una cartella di lavoro?;.xlsx
Cos'è il formato .xls?;Il vecchio formato compatibile con le versioni di Excel precedenti al 2007
Cos'è il formato .csv?;Un formato che conserva solo i dati puri riga per riga separati da virgole leggibile da qualunque programma ma privo di formule e formattazione
A cosa serve salvare un file in formato .pdf?;A condividerlo in una forma definitiva e non modificabile identica su qualunque dispositivo
