Nell'esempio della cartella clinica cosa viola un hacker che legge i dati senza modificarli?;La riservatezza anche se il contenuto non viene alterato
Nell'esempio della cartella clinica cosa succede se un attaccante modifica il gruppo sanguigno del paziente?;Viene violata l'integrità dei dati e la modifica può indurre a una trasfusione sbagliata con conseguenze fatali
Nell'esempio della cartella clinica cosa viene compromesso se un ransomware blocca i computer dell'ospedale?;La disponibilità perché nessuno riesce più ad aprire la cartella anche se non è stata rubata né modificata
Secondo la metafora della casa perché non basta una porta blindata per essere al sicuro?;Perché servono anche finestre sicure chiavi protette un allarme e buone abitudini degli abitanti
Perché un computer con il miglior antivirus del mondo può comunque essere compromesso?;Se l'utente consegna volontariamente la propria password a un truffatore
Cosa avvenne nel 2024 ai siti istituzionali italiani e al sito del Presidente del Consiglio?;Furono resi temporaneamente irraggiungibili da un attacco DDoS
Cosa significa l'acronimo DDoS?;Distributed Denial of Service ossia Negazione del Servizio Distribuita
A cosa viene paragonato un attacco DDoS nella metafora del centralino?;A 500.000 persone che telefonano contemporaneamente allo stesso centralino intasando il sistema
Qual è il vero scopo di un virus secondo il testo oltre all'infezione?;Guadagno controllo del sistema oppure raccolta e sorveglianza
In un esempio di worm aziendale cosa succede dopo l'infezione del primo computer?;Il malware sfrutta una vulnerabilità della rete e raggiunge automaticamente altri computer creando un effetto a catena
Nell'esempio del programma gratuito scaricato da un sito non ufficiale cosa fa realmente il Trojan?;In background installa altro malware oppure apre una porta per l'accesso remoto al computer
Nell'esempio dello spyware installato tramite un'applicazione gratuita cosa viene raccolto?;I siti visitati le ricerche effettuate e le pubblicità su cui si clicca
Nell'esempio del keylogger su un computer condiviso cosa accade dopo l'accesso a Gmail?;Le credenziali digitate vengono registrate dal keylogger nascosto senza che l'utente se ne accorga
Nell'esempio del ransomware cosa compare sul monitor dopo che i file vengono cifrati?;Un messaggio che chiede un pagamento per riavere accesso ai file
Nell'esempio del phishing legato a un volo aereo qual è il vero scopo dell'email ricevuta?;Convincere la vittima a cliccare sul collegamento e non semplicemente informarla
